meter_id,timestamp,register_kwh
SEA-1,2024-05-31T22:00:00-05:00,1000.000
SEA-1,2024-05-31T22:15:00-05:00,1000.400
SEA-1,2024-05-31T22:30:00-05:00,1000.800
SEA-1,2024-05-31T22:45:00-05:00,1001.200
SEA-1,2024-05-31T23:00:00-05:00,1001.600
SEA-1,2024-05-31T23:15:00-05:00,1002.000
SEA-1,2024-05-31T23:30:00-05:00,1002.400
SEA-1,2024-05-31T23:45:00-05:00,1002.800
SEA-1,2024-06-01T00:00:00-05:00,1003.200
SEA-1,2024-06-01T00:15:00-05:00,1003.600
SEA-1,2024-06-01T00:30:00-05:00,1004.000
SEA-1,2024-06-01T00:45:00-05:00,1004.400
SEA-1,2024-06-01T01:00:00-05:00,1004.800
SEA-1,2024-06-01T01:15:00-05:00,1005.200
SEA-1,2024-06-01T01:30:00-05:00,1005.600
SEA-1,2024-06-01T01:45:00-05:00,1006.000
