meter_id,timestamp,register_kwh
SUM-1,2024-06-01T13:30:00-05:00,100.000
SUM-1,2024-06-01T13:45:00-05:00,100.400
SUM-1,2024-06-01T14:00:00-05:00,100.800
SUM-1,2024-06-01T14:15:00-05:00,101.200
SUM-1,2024-06-01T14:30:00-05:00,101.600
SUM-1,2024-06-01T14:45:00-05:00,102.000
SUM-1,2024-06-01T15:00:00-05:00,102.400
SUM-1,2024-09-30T14:30:00-05:00,200.000
SUM-1,2024-09-30T14:45:00-05:00,200.400
SUM-1,2024-09-30T15:00:00-05:00,200.800
SUM-1,2024-09-30T15:15:00-05:00,201.200
SUM-1,2024-09-30T15:30:00-05:00,201.600
