meter_id,timestamp,register_kwh
MTR-1,2024-07-15T00:00:00-05:00,5000.000
MTR-1,2024-07-15T00:15:00-05:00,5000.250
MTR-1,2024-07-15T00:30:00-05:00,5000.500
MTR-1,2024-07-15T00:45:00-05:00,5000.750
MTR-1,2024-07-15T01:00:00-05:00,5001.000
MTR-1,2024-07-15T01:15:00-05:00,5001.250
MTR-1,2024-07-15T01:30:00-05:00,5001.500
MTR-1,2024-07-15T01:45:00-05:00,5001.750
MTR-1,2024-07-15T02:00:00-05:00,5002.000
MTR-1,2024-07-15T02:15:00-05:00,5002.250
MTR-1,2024-07-15T02:30:00-05:00,5002.500
MTR-1,2024-07-15T02:45:00-05:00,5002.750
MTR-1,2024-07-15T03:00:00-05:00,5003.000
MTR-1,2024-07-15T03:15:00-05:00,5003.250
MTR-1,2024-07-15T03:30:00-05:00,5003.500
MTR-1,2024-07-15T03:45:00-05:00,5003.750
MTR-1,2024-07-15T04:00:00-05:00,5004.000
MTR-1,2024-07-15T04:15:00-05:00,5004.250
MTR-1,2024-07-15T04:30:00-05:00,5004.500
MTR-1,2024-07-15T04:45:00-05:00,5004.750
MTR-1,2024-07-15T05:00:00-05:00,5005.000
MTR-1,2024-07-15T05:15:00-05:00,5005.250
MTR-1,2024-07-15T05:30:00-05:00,5005.500
MTR-1,2024-07-15T05:45:00-05:00,5005.750
MTR-1,2024-07-15T06:00:00-05:00,5006.000
MTR-1,2024-07-15T06:15:00-05:00,5006.250
MTR-1,2024-07-15T06:30:00-05:00,5006.500
MTR-1,2024-07-15T06:45:00-05:00,5006.750
MTR-1,2024-07-15T07:00:00-05:00,5007.000
MTR-1,2024-07-15T07:15:00-05:00,5007.250
MTR-1,2024-07-15T07:30:00-05:00,5007.500
MTR-1,2024-07-15T07:45:00-05:00,5007.750
MTR-1,2024-07-15T08:00:00-05:00,5008.000
MTR-1,2024-07-15T08:15:00-05:00,5008.250
MTR-1,2024-07-15T08:30:00-05:00,5008.500
MTR-1,2024-07-15T08:45:00-05:00,5008.750
MTR-1,2024-07-15T09:00:00-05:00,5009.000
MTR-1,2024-07-15T09:15:00-05:00,5009.250
MTR-1,2024-07-15T09:30:00-05:00,5009.500
MTR-1,2024-07-15T09:45:00-05:00,5009.750
MTR-1,2024-07-15T10:00:00-05:00,5010.000
MTR-1,2024-07-15T10:15:00-05:00,5010.250
MTR-1,2024-07-15T10:30:00-05:00,5010.500
MTR-1,2024-07-15T10:45:00-05:00,5010.750
MTR-1,2024-07-15T11:00:00-05:00,5011.000
MTR-1,2024-07-15T11:15:00-05:00,5011.250
MTR-1,2024-07-15T11:30:00-05:00,5011.500
MTR-1,2024-07-15T11:45:00-05:00,5011.750
MTR-1,2024-07-15T12:00:00-05:00,5012.000
MTR-1,2024-07-15T12:15:00-05:00,5012.250
MTR-1,2024-07-15T12:30:00-05:00,5012.500
MTR-1,2024-07-15T12:45:00-05:00,5012.750
MTR-1,2024-07-15T13:00:00-05:00,5013.000
MTR-1,2024-07-15T13:15:00-05:00,5013.250
MTR-1,2024-07-15T13:30:00-05:00,5013.500
MTR-1,2024-07-15T13:45:00-05:00,5013.750
MTR-1,2024-07-15T14:00:00-05:00,5014.000
MTR-1,2024-07-15T14:15:00-05:00,5014.250
MTR-1,2024-07-15T14:30:00-05:00,5014.500
MTR-1,2024-07-15T14:45:00-05:00,5014.750
MTR-1,2024-07-15T15:00:00-05:00,5015.000
MTR-1,2024-07-15T15:15:00-05:00,5015.250
MTR-1,2024-07-15T15:30:00-05:00,5015.500
MTR-1,2024-07-15T15:45:00-05:00,5015.750
MTR-1,2024-07-15T16:00:00-05:00,5016.000
MTR-1,2024-07-15T16:15:00-05:00,5016.250
MTR-1,2024-07-15T16:30:00-05:00,5016.500
MTR-1,2024-07-15T16:45:00-05:00,5016.750
MTR-1,2024-07-15T17:00:00-05:00,5017.000
MTR-1,2024-07-15T17:15:00-05:00,5017.250
MTR-1,2024-07-15T17:30:00-05:00,5017.500
MTR-1,2024-07-15T17:45:00-05:00,5017.750
MTR-1,2024-07-15T18:00:00-05:00,5018.000
MTR-1,2024-07-15T18:15:00-05:00,5018.250
MTR-1,2024-07-15T18:30:00-05:00,5018.500
MTR-1,2024-07-15T18:45:00-05:00,5018.750
MTR-1,2024-07-15T19:00:00-05:00,5019.000
MTR-1,2024-07-15T19:15:00-05:00,5019.250
MTR-1,2024-07-15T19:30:00-05:00,5019.500
MTR-1,2024-07-15T19:45:00-05:00,5019.750
MTR-1,2024-07-15T20:00:00-05:00,5020.000
MTR-1,2024-07-15T20:15:00-05:00,5020.250
MTR-1,2024-07-15T20:30:00-05:00,5020.500
MTR-1,2024-07-15T20:45:00-05:00,5020.750
MTR-1,2024-07-15T21:00:00-05:00,5021.000
MTR-1,2024-07-15T21:15:00-05:00,5021.250
MTR-1,2024-07-15T21:30:00-05:00,5021.500
MTR-1,2024-07-15T21:45:00-05:00,5021.750
MTR-1,2024-07-15T22:00:00-05:00,5022.000
MTR-1,2024-07-15T22:15:00-05:00,5022.250
MTR-1,2024-07-15T22:30:00-05:00,5022.500
MTR-1,2024-07-15T22:45:00-05:00,5022.750
MTR-1,2024-07-15T23:00:00-05:00,5023.000
MTR-1,2024-07-15T23:15:00-05:00,5023.250
MTR-1,2024-07-15T23:30:00-05:00,5023.500
MTR-1,2024-07-15T23:45:00-05:00,5023.750
MTR-1,2024-07-16T00:00:00-05:00,5024.000
