meter_id,timestamp,register_kwh
WIN-1,2024-01-08T00:00:00-06:00,2000.000
WIN-1,2024-01-08T00:15:00-06:00,2000.500
WIN-1,2024-01-08T00:30:00-06:00,2001.000
WIN-1,2024-01-08T00:45:00-06:00,2001.500
WIN-1,2024-01-08T01:00:00-06:00,2002.000
WIN-1,2024-01-08T01:15:00-06:00,2002.500
WIN-1,2024-01-08T01:30:00-06:00,2003.000
WIN-1,2024-01-08T01:45:00-06:00,2003.500
WIN-1,2024-01-08T02:00:00-06:00,2004.000
WIN-1,2024-01-08T02:15:00-06:00,2004.500
WIN-1,2024-01-08T02:30:00-06:00,2005.000
WIN-1,2024-01-08T02:45:00-06:00,2005.500
WIN-1,2024-01-08T03:00:00-06:00,2006.000
WIN-1,2024-01-08T03:15:00-06:00,2006.500
WIN-1,2024-01-08T03:30:00-06:00,2007.000
WIN-1,2024-01-08T03:45:00-06:00,2007.500
WIN-1,2024-01-08T04:00:00-06:00,2008.000
WIN-1,2024-01-08T04:15:00-06:00,2008.500
WIN-1,2024-01-08T04:30:00-06:00,2009.000
WIN-1,2024-01-08T04:45:00-06:00,2009.500
WIN-1,2024-01-08T05:00:00-06:00,2010.000
WIN-1,2024-01-08T05:15:00-06:00,2010.500
WIN-1,2024-01-08T05:30:00-06:00,2011.000
WIN-1,2024-01-08T05:45:00-06:00,2011.500
WIN-1,2024-01-08T06:00:00-06:00,2012.000
WIN-1,2024-01-08T06:15:00-06:00,2012.500
WIN-1,2024-01-08T06:30:00-06:00,2013.000
WIN-1,2024-01-08T06:45:00-06:00,2013.500
WIN-1,2024-01-08T07:00:00-06:00,2014.000
WIN-1,2024-01-08T07:15:00-06:00,2014.500
WIN-1,2024-01-08T07:30:00-06:00,2015.000
WIN-1,2024-01-08T07:45:00-06:00,2015.500
WIN-1,2024-01-08T08:00:00-06:00,2016.000
WIN-1,2024-01-08T08:15:00-06:00,2016.500
WIN-1,2024-01-08T08:30:00-06:00,2017.000
WIN-1,2024-01-08T08:45:00-06:00,2017.500
WIN-1,2024-01-08T09:00:00-06:00,2018.000
WIN-1,2024-01-08T09:15:00-06:00,2018.500
WIN-1,2024-01-08T09:30:00-06:00,2019.000
WIN-1,2024-01-08T09:45:00-06:00,2019.500
WIN-1,2024-01-08T10:00:00-06:00,2020.000
WIN-1,2024-01-08T10:15:00-06:00,2020.500
WIN-1,2024-01-08T10:30:00-06:00,2021.000
WIN-1,2024-01-08T10:45:00-06:00,2021.500
WIN-1,2024-01-08T11:00:00-06:00,2022.000
WIN-1,2024-01-08T11:15:00-06:00,2022.500
WIN-1,2024-01-08T11:30:00-06:00,2023.000
WIN-1,2024-01-08T11:45:00-06:00,2023.500
WIN-1,2024-01-08T12:00:00-06:00,2024.000
