u,v,split
0,1,train
0,5,train
0,7,train
0,22,val
0,24,train
0,26,test
0,32,train
1,2,train
1,8,train
1,11,train
1,15,train
1,17,val
1,20,train
1,23,train
1,27,train
1,28,train
2,3,val
2,10,train
2,13,train
2,14,test
2,15,test
2,21,train
2,22,test
2,26,train
2,29,val
2,30,train
2,31,train
2,33,test
2,35,train
3,4,train
3,7,train
3,8,test
3,9,val
3,12,train
3,16,test
3,18,train
3,19,train
3,35,train
4,5,train
4,6,train
4,25,train
4,28,val
4,34,train
5,9,val
5,25,train
5,32,train
5,33,train
5,34,val
7,8,train
7,12,test
7,13,train
8,10,train
8,13,train
8,16,val
9,11,train
9,12,train
9,13,train
10,11,test
10,12,train
10,15,train
10,16,train
11,12,train
11,19,train
13,14,test
13,16,train
13,18,test
14,16,train
15,19,train
15,20,train
16,21,train
17,18,val
17,24,train
18,20,train
18,22,train
18,23,train
19,24,train
19,25,train
20,22,train
21,23,val
21,24,train
21,28,val
23,24,train
23,28,train
24,31,test
25,26,train
26,29,test
26,31,val
27,30,train
27,31,train
27,33,train
29,30,train
29,31,train
30,33,train
30,34,test
30,35,train
32,35,train
