id,label,kind
0,stn-00,hub
1,stn-01,hub
2,stn-02,hub
3,stn-03,hub
4,stn-04,hub
5,stn-05,hub
6,stn-06,stop
7,stn-07,stop
8,stn-08,stop
9,stn-09,stop
10,stn-10,transfer
11,stn-11,stop
12,stn-12,stop
13,stn-13,stop
14,stn-14,stop
15,stn-15,transfer
16,stn-16,stop
17,stn-17,stop
18,stn-18,stop
19,stn-19,stop
20,stn-20,transfer
21,stn-21,stop
22,stn-22,stop
23,stn-23,stop
24,stn-24,stop
25,stn-25,transfer
26,stn-26,stop
27,stn-27,stop
28,stn-28,stop
29,stn-29,stop
30,stn-30,transfer
31,stn-31,stop
32,stn-32,stop
33,stn-33,stop
34,stn-34,stop
35,stn-35,transfer
