customer_id,city,state,zip
C01001,Fairfax,B,64242
C01002,Riverton,B,33425
C01003,Riverton,C,55513
C01004,Springfield,C,39849
C01005,Springfield,B,92351
C01006,Springfield,B,92273
C01007,Lakeview,B,26690
C01008,Lakeview,A,32756
C01009,Riverton,A,64775
C01010,Springfield,A,89771
C01011,Riverton,B,33710
C01012,Lakeview,A,63947
C01013,Springfield,A,85610
C01014,Glendale,A,79773
C01015,Glendale,A,13178
C01016,Lakeview,B,56991
C01017,Riverton,B,21051
C01018,Fairfax,B,49258
C01019,Glendale,B,76613
C01020,Lakeview,A,89303
C01021,Lakeview,C,74138
C01022,Fairfax,B,49005
C01023,Fairfax,B,57556
C01024,Springfield,A,16901
C01025,Glendale,C,77723
C01026,Lakeview,B,39944
C01027,Glendale,C,31543
C01028,Riverton,B,86837
C01029,Lakeview,C,58986
C01030,Glendale,B,71350
C01031,Riverton,B,21412
C01032,Lakeview,B,11204
C01033,Lakeview,B,44596
C01034,Lakeview,B,11480
C01035,Springfield,C,36925
C01036,Riverton,A,89980
C01037,Fairfax,C,87873
C01038,Fairfax,A,30997
C01039,Lakeview,B,15978
C01040,Glendale,A,40244
C01041,Lakeview,C,70277
C01042,Glendale,B,51413
C01043,Springfield,A,98445
C01044,Fairfax,B,38458
C01045,Fairfax,A,33674
C01046,Glendale,A,88477
C01047,Lakeview,C,31057
C01048,Lakeview,B,32226
C01049,Springfield,B,62183
C01050,Riverton,A,83103
C01051,Fairfax,C,49361
C01052,Springfield,C,98169
C01053,Glendale,B,45875
C01054,Riverton,C,32715
C01055,Fairfax,B,75120
C01056,Glendale,B,59303
C01057,Fairfax,B,93090
C01058,Glendale,C,29495
C01059,Fairfax,A,35362
C01060,Riverton,C,78509
C01061,Lakeview,A,88391
C01062,Glendale,C,59775
C01063,Riverton,B,39852
C01064,Riverton,A,50044
C01065,Fairfax,B,21757
C01066,Springfield,B,12400
C01067,Fairfax,B,22881
C01068,Glendale,B,78921
C01069,Riverton,B,16759
C01070,Lakeview,B,75744
C01071,Riverton,A,87857
C01072,Springfield,B,35393
C01073,Glendale,A,62737
C01074,Riverton,C,43828
C01075,Springfield,B,84720
C01076,Fairfax,B,60262
C01077,Glendale,A,72700
C01078,Fairfax,C,38468
C01079,Springfield,B,45939
C01080,Fairfax,B,28160
C01081,Glendale,C,16602
C01082,Glendale,B,46643
C01083,Springfield,A,86143
C01084,Fairfax,B,77805
C01085,Lakeview,A,97464
C01086,Fairfax,C,95195
C01087,Fairfax,C,45446
C01088,Lakeview,B,32828
C01089,Glendale,A,42248
C01090,Fairfax,A,77181
C01091,Fairfax,B,69752
C01092,Lakeview,B,45637
C01093,Riverton,A,20702
C01094,Glendale,A,56779
C01095,Lakeview,B,95327
C01096,Lakeview,C,63244
C01097,Glendale,A,84034
C01098,Lakeview,C,80970
C01099,Springfield,A,38525
C01100,Springfield,A,42680
C01101,Fairfax,B,48050
C01102,Lakeview,C,70037
C01103,Fairfax,A,90621
C01104,Springfield,C,83632
C01105,Springfield,B,59674
C01106,Springfield,B,75088
C01107,Fairfax,A,11761
C01108,Lakeview,B,27100
C01109,Fairfax,B,59929
C01110,Lakeview,C,28086
C01111,Lakeview,A,18187
C01112,Lakeview,A,91319
C01113,Springfield,A,98703
C01114,Springfield,A,67899
C01115,Lakeview,B,44377
C01116,Riverton,B,82661
C01117,Springfield,C,10205
C01118,Riverton,C,39151
C01119,Glendale,A,38724
C01120,Riverton,A,10829
C01121,Lakeview,B,64688
C01122,Fairfax,A,60197
C01123,Springfield,B,62124
C01124,Riverton,B,51253
C01125,Fairfax,A,51053
C01126,Fairfax,C,12245
C01127,Riverton,B,33751
C01128,Fairfax,B,39827
C01129,Fairfax,C,86603
C01130,Lakeview,C,32639
C01131,Springfield,A,51255
C01132,Riverton,A,65570
C01133,Fairfax,B,96696
C01134,Lakeview,C,84815
C01135,Glendale,B,41421
C01136,Springfield,A,18591
C01137,Lakeview,B,76206
C01138,Riverton,A,11818
C01139,Fairfax,B,61670
C01140,Riverton,B,33867
C01141,Springfield,B,76155
C01142,Springfield,B,91612
C01143,Glendale,C,39541
C01144,Fairfax,B,99188
C01145,Riverton,A,52539
C01146,Springfield,C,77575
C01147,Lakeview,B,43208
C01148,Glendale,A,68527
C01149,Fairfax,C,11711
C01150,Fairfax,C,98168
C01151,Springfield,C,54523
C01152,Lakeview,C,60565
C01153,Glendale,A,32388
C01154,Glendale,B,52194
C01155,Lakeview,C,40909
C01156,Fairfax,A,84472
C01157,Fairfax,B,37417
C01158,Fairfax,C,22362
C01159,Springfield,C,80009
C01160,Fairfax,B,89743
C01161,Glendale,B,48635
C01162,Glendale,A,92856
C01163,Fairfax,B,31707
C01164,Lakeview,B,29707
C01165,Lakeview,A,53008
C01166,Glendale,C,24138
C01167,Fairfax,C,61530
C01168,Springfield,B,84888
C01169,Springfield,A,48252
C01170,Springfield,A,29688
C01171,Glendale,A,24272
C01172,Fairfax,B,11349
C01173,Riverton,A,53990
C01174,Glendale,C,79983
C01175,Lakeview,C,46622
C01176,Riverton,C,89433
C01177,Lakeview,A,40895
C01178,Springfield,B,35686
C01179,Fairfax,B,63897
C01180,Riverton,C,61968
C01181,Riverton,B,17936
C01182,Fairfax,B,30161
C01183,Riverton,B,32766
C01184,Springfield,C,17989
C01185,Lakeview,B,77669
C01186,Springfield,A,69446
C01187,Riverton,C,37846
C01188,Lakeview,B,72322
C01189,Lakeview,C,80857
C01190,Fairfax,C,77082
C01191,Riverton,B,57294
C01192,Riverton,A,23191
C01193,Fairfax,B,92609
C01194,Glendale,A,95138
C01195,Fairfax,A,44749
C01196,Lakeview,B,49955
C01197,Springfield,C,86372
C01198,Springfield,B,94857
C01199,Fairfax,B,66108
C01200,Glendale,B,15445
C01201,Springfield,B,92787
C01202,Glendale,A,95888
C01203,Glendale,C,31825
C01204,Lakeview,B,53884
C01205,Glendale,B,83430
C01206,Fairfax,C,48010
C01207,Glendale,A,75727
C01208,Glendale,C,18978
C01209,Fairfax,B,51708
C01210,Springfield,B,95858
C01211,Riverton,B,93914
C01212,Riverton,A,59454
C01213,Springfield,A,26461
C01214,Riverton,B,42157
C01215,Fairfax,B,96402
C01216,Glendale,B,39423
C01217,Springfield,B,40512
C01218,Lakeview,C,81758
C01219,Fairfax,B,86263
C01220,Glendale,B,37375
C01221,Springfield,C,86597
C01222,Riverton,A,87251
C01223,Riverton,B,26066
C01224,Fairfax,A,95013
C01225,Lakeview,C,71162
