adjustment_id,subscription_id,amount_usd,reason
AD00001,S01960,13.60,DISPUTE
AD00002,S01428,1.55,DISPUTE
AD00003,S00353,-4.49,DISPUTE
AD00004,S00987,-3.08,ERROR
AD00005,S01540,5.74,GOODWILL
AD00006,S00834,-17.12,ERROR
AD00007,S01292,15.54,GOODWILL
AD00008,S00664,3.71,ERROR
AD00009,S00012,-5.48,DISPUTE
AD00010,S00461,3.29,GOODWILL
AD00011,S00252,-7.63,DISPUTE
AD00012,S00150,6.37,GOODWILL
AD00013,S00834,-0.36,DISPUTE
AD00014,S00465,1.83,DISPUTE
AD00015,S00079,-1.11,ERROR
AD00016,S01828,5.22,ERROR
AD00017,S01142,-3.85,ERROR
AD00018,S01523,-11.44,ERROR
AD00019,S01807,-6.61,GOODWILL
AD00020,S01873,11.42,DISPUTE
AD00021,S01044,-5.07,GOODWILL
AD00022,S01507,10.83,GOODWILL
AD00023,S01064,-1.27,GOODWILL
AD00024,S01609,13.77,GOODWILL
AD00025,S00801,-18.80,GOODWILL
AD00026,S00224,-5.17,ERROR
AD00027,S00360,14.74,DISPUTE
AD00028,S00065,15.14,ERROR
AD00029,S01800,1.44,DISPUTE
AD00030,S00749,6.46,DISPUTE
AD00031,S00913,-6.26,ERROR
AD00032,S00690,-3.97,DISPUTE
AD00033,S00203,12.09,DISPUTE
AD00034,S01237,8.50,ERROR
AD00035,S00581,-2.98,ERROR
AD00036,S01776,14.94,DISPUTE
AD00037,S00070,10.10,ERROR
AD00038,S00404,18.71,GOODWILL
AD00039,S00261,-12.07,DISPUTE
AD00040,S00782,-7.75,DISPUTE
AD00041,S00162,-7.76,DISPUTE
AD00042,S00225,19.34,ERROR
AD00043,S01392,5.47,GOODWILL
AD00044,S01952,9.34,DISPUTE
AD00045,S00869,15.91,DISPUTE
AD00046,S00803,18.79,DISPUTE
AD00047,S01631,-2.01,ERROR
AD00048,S01273,-18.20,ERROR
AD00049,S00816,15.13,ERROR
AD00050,S01462,19.90,DISPUTE
AD00051,S01690,4.83,GOODWILL
AD00052,S00535,-14.25,ERROR
AD00053,S00761,-4.72,ERROR
AD00054,S01696,-18.35,DISPUTE
AD00055,S01304,-16.25,ERROR
AD00056,S01154,-18.26,DISPUTE
AD00057,S00767,2.06,DISPUTE
AD00058,S01057,-9.84,ERROR
AD00059,S01876,-13.20,GOODWILL
AD00060,S00100,-13.32,DISPUTE
AD00061,S01279,-18.65,GOODWILL
AD00062,S01050,-4.39,DISPUTE
AD00063,S00211,-15.74,GOODWILL
AD00064,S01410,14.75,GOODWILL
AD00065,S00562,7.08,DISPUTE
AD00066,S01960,-18.37,DISPUTE
AD00067,S00904,-18.57,DISPUTE
AD00068,S00043,-17.48,ERROR
AD00069,S00111,-19.94,GOODWILL
AD00070,S01089,-5.30,DISPUTE
AD00071,S01527,-13.59,ERROR
AD00072,S01622,15.61,DISPUTE
AD00073,S01723,18.23,ERROR
AD00074,S01468,-3.68,DISPUTE
AD00075,S00609,2.48,GOODWILL
AD00076,S01068,3.90,DISPUTE
AD00077,S01040,9.55,GOODWILL
AD00078,S01188,6.26,DISPUTE
AD00079,S01472,4.48,DISPUTE
AD00080,S00291,-15.92,DISPUTE
AD00081,S00695,-3.95,ERROR
AD00082,S00361,0.58,GOODWILL
AD00083,S01575,-14.12,GOODWILL
AD00084,S00697,17.87,ERROR
AD00085,S00863,-2.25,ERROR
AD00086,S00451,13.80,ERROR
AD00087,S01024,15.04,DISPUTE
AD00088,S01791,17.43,ERROR
AD00089,S00049,-3.02,DISPUTE
AD00090,S01936,-13.74,DISPUTE
AD00091,S00942,19.93,DISPUTE
AD00092,S00760,-4.59,DISPUTE
AD00093,S01536,-9.58,DISPUTE
AD00094,S01428,-13.70,ERROR
AD00095,S01281,-8.55,ERROR
AD00096,S00702,-9.97,ERROR
AD00097,S01699,16.06,GOODWILL
AD00098,S00717,16.17,GOODWILL
AD00099,S01227,-15.18,ERROR
AD00100,S01056,14.58,ERROR
AD00101,S01761,-4.95,ERROR
AD00102,S01049,-17.47,ERROR
AD00103,S00185,10.06,ERROR
AD00104,S01204,1.23,ERROR
AD00105,S01167,-11.58,GOODWILL
AD00106,S00900,-0.18,ERROR
AD00107,S00344,14.67,DISPUTE
AD00108,S01116,11.12,GOODWILL
AD00109,S00930,-7.15,GOODWILL
AD00110,S00273,-3.48,GOODWILL
AD00111,S00567,-13.97,ERROR
AD00112,S00291,9.76,GOODWILL
AD00113,S01774,-14.11,DISPUTE
AD00114,S00165,5.18,GOODWILL
AD00115,S01327,6.03,ERROR
AD00116,S00024,1.34,DISPUTE
AD00117,S00823,-5.02,GOODWILL
AD00118,S01434,19.49,GOODWILL
AD00119,S01013,12.31,GOODWILL
AD00120,S00394,-5.11,DISPUTE
AD00121,S00158,-16.39,DISPUTE
AD00122,S00798,6.44,GOODWILL
AD00123,S01199,-6.70,GOODWILL
AD00124,S00907,4.58,ERROR
AD00125,S01775,-16.66,ERROR
AD00126,S01454,-5.14,ERROR
AD00127,S00167,13.33,GOODWILL
AD00128,S01541,9.97,DISPUTE
AD00129,S01234,-4.13,GOODWILL
AD00130,S01763,9.94,ERROR
AD00131,S01621,-6.67,DISPUTE
AD00132,S01220,14.49,GOODWILL
AD00133,S00736,-4.64,ERROR
AD00134,S00023,-1.73,GOODWILL
AD00135,S00459,4.85,DISPUTE
AD00136,S01899,-5.01,ERROR
AD00137,S01459,-16.91,GOODWILL
AD00138,S00436,19.21,ERROR
AD00139,S00208,8.65,DISPUTE
AD00140,S00052,15.44,GOODWILL
AD00141,S01313,-2.69,ERROR
AD00142,S00487,16.56,ERROR
AD00143,S00280,-0.99,DISPUTE
AD00144,S01408,6.81,GOODWILL
AD00145,S00484,9.82,GOODWILL
AD00146,S00601,3.69,DISPUTE
AD00147,S01270,-11.00,GOODWILL
AD00148,S01316,-4.02,DISPUTE
AD00149,S01989,18.84,DISPUTE
AD00150,S00838,3.91,GOODWILL
AD00151,S00608,11.44,ERROR
AD00152,S01724,-9.79,DISPUTE
AD00153,S00758,-12.94,ERROR
AD00154,S01932,2.73,GOODWILL
AD00155,S00377,6.96,GOODWILL
AD00156,S00522,14.00,DISPUTE
AD00157,S01200,6.15,ERROR
AD00158,S00389,-9.09,GOODWILL
AD00159,S01112,-14.52,DISPUTE
AD00160,S00171,8.04,DISPUTE
AD00161,S00250,1.37,ERROR
AD00162,S00396,15.59,ERROR
AD00163,S01216,-15.63,GOODWILL
AD00164,S01101,-2.23,ERROR
AD00165,S01508,12.70,DISPUTE
AD00166,S00827,-4.77,GOODWILL
AD00167,S00292,-12.61,DISPUTE
AD00168,S00105,5.88,DISPUTE
AD00169,S01585,19.99,GOODWILL
AD00170,S00647,-6.68,ERROR
AD00171,S01817,-17.46,DISPUTE
AD00172,S01271,-0.13,GOODWILL
AD00173,S00198,-10.68,DISPUTE
AD00174,S00398,4.92,ERROR
AD00175,S01410,-1.51,GOODWILL
AD00176,S00799,-16.78,GOODWILL
AD00177,S00580,-7.15,DISPUTE
AD00178,S00528,4.66,ERROR
AD00179,S01232,17.77,GOODWILL
AD00180,S00684,15.28,DISPUTE
AD00181,S00666,-14.82,GOODWILL
AD00182,S00295,-11.64,ERROR
AD00183,S00984,-3.58,ERROR
AD00184,S01814,18.47,GOODWILL
AD00185,S01667,15.62,ERROR
AD00186,S01852,-12.47,DISPUTE
AD00187,S00243,4.09,GOODWILL
AD00188,S01185,-3.42,DISPUTE
AD00189,S00222,-14.96,GOODWILL
AD00190,S01782,5.55,DISPUTE
AD00191,S01774,13.81,GOODWILL
AD00192,S00835,15.25,DISPUTE
AD00193,S00783,0.47,DISPUTE
AD00194,S00177,-0.19,DISPUTE
AD00195,S01472,-18.25,GOODWILL
AD00196,S00511,-8.80,GOODWILL
AD00197,S01911,-6.31,GOODWILL
AD00198,S01370,1.98,GOODWILL
AD00199,S00133,-2.03,GOODWILL
AD00200,S01740,-18.50,GOODWILL
AD00201,S00698,6.58,DISPUTE
AD00202,S01822,-13.41,DISPUTE
AD00203,S00457,18.24,GOODWILL
AD00204,S00983,13.33,ERROR
AD00205,S01115,17.03,DISPUTE
AD00206,S00518,-7.74,GOODWILL
AD00207,S01816,-6.07,GOODWILL
AD00208,S00434,-1.36,GOODWILL
AD00209,S01407,16.12,GOODWILL
AD00210,S01482,13.04,ERROR
AD00211,S01450,-9.25,GOODWILL
AD00212,S00046,-19.18,GOODWILL
AD00213,S00658,-4.09,GOODWILL
AD00214,S01074,-18.49,GOODWILL
AD00215,S00506,9.64,ERROR
AD00216,S01863,-0.55,ERROR
AD00217,S00867,-14.59,ERROR
AD00218,S00146,-7.10,ERROR
AD00219,S00403,14.56,GOODWILL
AD00220,S01091,-7.46,DISPUTE
AD00221,S00606,-14.09,DISPUTE
AD00222,S01601,0.73,DISPUTE
AD00223,S00810,-4.40,GOODWILL
AD00224,S00443,-9.49,GOODWILL
AD00225,S01405,-17.62,GOODWILL
AD00226,S00912,-9.90,DISPUTE
AD00227,S00247,15.72,GOODWILL
AD00228,S00524,16.10,ERROR
AD00229,S00752,14.25,GOODWILL
AD00230,S01996,9.38,ERROR
AD00231,S01334,-8.13,GOODWILL
AD00232,S01023,13.23,GOODWILL
AD00233,S01977,15.71,ERROR
AD00234,S01754,-19.11,ERROR
AD00235,S00982,-1.60,DISPUTE
