credit_note_id,customer_id,amount_usd,issued
CN00001,C01694,7.56,2025-03-23
CN00002,C02447,16.71,2025-03-17
CN00003,C01988,17.57,2025-03-23
CN00004,C02157,23.54,2025-03-24
CN00005,C02988,9.57,2025-03-06
CN00006,C01786,14.89,2025-03-24
CN00007,C02443,14.91,2025-03-08
CN00008,C02626,18.79,2025-03-08
CN00009,C01109,24.71,2025-03-15
CN00010,C02401,22.17,2025-03-04
CN00011,C02982,12.55,2025-03-17
CN00012,C01661,6.69,2025-03-17
CN00013,C01135,16.42,2025-03-09
CN00014,C02772,2.28,2025-03-18
CN00015,C01702,18.17,2025-03-25
CN00016,C01426,2.89,2025-03-27
CN00017,C02555,27.63,2025-03-22
CN00018,C02951,5.67,2025-03-12
CN00019,C01353,15.92,2025-03-18
CN00020,C01903,29.56,2025-03-13
CN00021,C02408,20.53,2025-03-25
CN00022,C02032,15.15,2025-03-03
CN00023,C02564,3.84,2025-03-11
CN00024,C02841,11.43,2025-03-09
CN00025,C01871,16.86,2025-03-19
CN00026,C01224,4.60,2025-03-15
CN00027,C01960,21.28,2025-03-09
CN00028,C01026,18.96,2025-03-04
CN00029,C02330,17.59,2025-03-22
CN00030,C01159,3.63,2025-03-16
CN00031,C01874,8.25,2025-03-12
CN00032,C02556,14.31,2025-03-28
CN00033,C01164,11.57,2025-03-26
CN00034,C01705,8.67,2025-03-22
CN00035,C02612,26.49,2025-03-15
CN00036,C02543,16.25,2025-03-13
CN00037,C02769,28.69,2025-03-19
CN00038,C01855,22.30,2025-03-01
CN00039,C02220,4.49,2025-03-23
CN00040,C02320,13.23,2025-03-16
CN00041,C02844,15.75,2025-03-24
CN00042,C01591,6.76,2025-03-18
CN00043,C01112,21.15,2025-03-10
CN00044,C02425,24.09,2025-03-23
CN00045,C01841,29.21,2025-03-13
CN00046,C02850,3.27,2025-03-23
CN00047,C01267,29.89,2025-03-16
CN00048,C01933,18.33,2025-03-10
CN00049,C02747,9.85,2025-03-26
CN00050,C01608,20.34,2025-03-09
CN00051,C02504,22.18,2025-03-09
CN00052,C01485,12.39,2025-03-17
CN00053,C02254,26.68,2025-03-23
CN00054,C02575,10.15,2025-03-22
CN00055,C02963,26.97,2025-03-25
CN00056,C02503,23.74,2025-03-17
CN00057,C02472,15.42,2025-03-15
CN00058,C02293,28.87,2025-03-24
CN00059,C02103,20.89,2025-03-17
CN00060,C02116,16.44,2025-03-22
CN00061,C01705,20.97,2025-03-22
CN00062,C02675,25.39,2025-03-23
CN00063,C01626,28.91,2025-03-01
CN00064,C02780,14.04,2025-03-10
CN00065,C01430,8.75,2025-03-27
CN00066,C02112,4.26,2025-03-10
CN00067,C01798,5.58,2025-03-12
CN00068,C02695,12.34,2025-03-24
CN00069,C02453,29.96,2025-03-08
CN00070,C02559,22.42,2025-03-04
CN00071,C01981,5.75,2025-03-08
CN00072,C02084,3.92,2025-03-08
CN00073,C02778,9.61,2025-03-23
CN00074,C01640,22.58,2025-03-10
CN00075,C01606,22.38,2025-03-10
CN00076,C02437,19.35,2025-03-28
CN00077,C01570,22.06,2025-03-09
CN00078,C01088,20.56,2025-03-19
CN00079,C02749,19.18,2025-03-02
