ticket_id,customer_id,category,opened
TK00001,C01569,OTHER,2025-03-16
TK00002,C02046,BILLING,2025-03-26
TK00003,C02686,BILLING,2025-03-11
TK00004,C01333,OTHER,2025-03-27
TK00005,C02159,NETWORK,2025-03-21
TK00006,C02486,OTHER,2025-03-15
TK00007,C01280,OTHER,2025-03-22
TK00008,C01943,DEVICE,2025-03-20
TK00009,C02190,DEVICE,2025-03-25
TK00010,C02065,OTHER,2025-03-15
TK00011,C01100,OTHER,2025-03-24
TK00012,C02992,NETWORK,2025-03-15
TK00013,C02441,NETWORK,2025-03-04
TK00014,C01450,NETWORK,2025-03-20
TK00015,C01421,NETWORK,2025-03-12
TK00016,C01082,BILLING,2025-03-09
TK00017,C02906,BILLING,2025-03-03
TK00018,C01243,OTHER,2025-03-11
TK00019,C01258,BILLING,2025-03-12
TK00020,C01223,DEVICE,2025-03-10
TK00021,C02989,OTHER,2025-03-28
TK00022,C02487,OTHER,2025-03-23
TK00023,C02274,BILLING,2025-03-27
TK00024,C01029,OTHER,2025-03-26
TK00025,C02815,NETWORK,2025-03-16
TK00026,C01200,NETWORK,2025-03-23
TK00027,C01363,NETWORK,2025-03-05
TK00028,C01459,NETWORK,2025-03-18
TK00029,C02050,NETWORK,2025-03-24
TK00030,C01526,BILLING,2025-03-26
TK00031,C01275,NETWORK,2025-03-03
TK00032,C02483,DEVICE,2025-03-02
TK00033,C01508,OTHER,2025-03-25
TK00034,C02300,OTHER,2025-03-19
TK00035,C02967,NETWORK,2025-03-12
TK00036,C01259,DEVICE,2025-03-14
TK00037,C02299,BILLING,2025-03-18
TK00038,C02088,NETWORK,2025-03-11
TK00039,C02911,OTHER,2025-03-28
TK00040,C02259,OTHER,2025-03-05
TK00041,C01813,DEVICE,2025-03-04
TK00042,C02336,DEVICE,2025-03-16
TK00043,C01128,NETWORK,2025-03-26
TK00044,C02971,BILLING,2025-03-14
TK00045,C02844,NETWORK,2025-03-28
TK00046,C01902,DEVICE,2025-03-27
TK00047,C01784,OTHER,2025-03-02
TK00048,C01275,NETWORK,2025-03-07
TK00049,C02919,NETWORK,2025-03-08
TK00050,C02615,BILLING,2025-03-08
TK00051,C02512,BILLING,2025-03-27
TK00052,C02198,OTHER,2025-03-26
TK00053,C01093,DEVICE,2025-03-14
TK00054,C01750,NETWORK,2025-03-02
TK00055,C01974,BILLING,2025-03-03
TK00056,C02426,BILLING,2025-03-20
TK00057,C01563,OTHER,2025-03-13
TK00058,C02443,DEVICE,2025-03-13
TK00059,C02646,NETWORK,2025-03-19
TK00060,C01461,BILLING,2025-03-09
TK00061,C02779,NETWORK,2025-03-11
TK00062,C01599,NETWORK,2025-03-11
TK00063,C01580,BILLING,2025-03-09
TK00064,C01249,BILLING,2025-03-12
TK00065,C01537,OTHER,2025-03-14
TK00066,C02138,DEVICE,2025-03-03
TK00067,C02642,OTHER,2025-03-26
TK00068,C02694,DEVICE,2025-03-27
TK00069,C01476,BILLING,2025-03-23
TK00070,C02878,BILLING,2025-03-26
TK00071,C02860,DEVICE,2025-03-28
TK00072,C02691,BILLING,2025-03-01
TK00073,C01621,OTHER,2025-03-14
TK00074,C02787,DEVICE,2025-03-02
TK00075,C02271,OTHER,2025-03-05
TK00076,C02520,NETWORK,2025-03-03
TK00077,C01826,NETWORK,2025-03-01
TK00078,C02336,DEVICE,2025-03-17
TK00079,C02309,NETWORK,2025-03-16
TK00080,C01443,DEVICE,2025-03-08
TK00081,C01852,DEVICE,2025-03-06
TK00082,C02515,NETWORK,2025-03-06
TK00083,C02018,NETWORK,2025-03-15
TK00084,C01322,BILLING,2025-03-13
TK00085,C01055,DEVICE,2025-03-14
TK00086,C01940,OTHER,2025-03-23
TK00087,C02194,BILLING,2025-03-11
TK00088,C01755,OTHER,2025-03-05
TK00089,C01965,OTHER,2025-03-16
TK00090,C01715,BILLING,2025-03-12
TK00091,C02256,DEVICE,2025-03-27
TK00092,C02393,BILLING,2025-03-06
TK00093,C02621,NETWORK,2025-03-21
TK00094,C02451,BILLING,2025-03-26
TK00095,C01396,NETWORK,2025-03-26
TK00096,C02624,OTHER,2025-03-24
TK00097,C02500,DEVICE,2025-03-01
TK00098,C02673,DEVICE,2025-03-17
TK00099,C01515,NETWORK,2025-03-19
TK00100,C02931,NETWORK,2025-03-17
TK00101,C01433,BILLING,2025-03-04
TK00102,C02721,DEVICE,2025-03-12
TK00103,C01847,BILLING,2025-03-10
TK00104,C02807,BILLING,2025-03-04
TK00105,C02559,DEVICE,2025-03-11
TK00106,C01070,NETWORK,2025-03-27
TK00107,C02750,NETWORK,2025-03-15
TK00108,C01502,DEVICE,2025-03-12
TK00109,C01250,DEVICE,2025-03-10
TK00110,C01020,DEVICE,2025-03-22
TK00111,C02217,NETWORK,2025-03-15
TK00112,C01622,BILLING,2025-03-18
TK00113,C02138,NETWORK,2025-03-08
TK00114,C01257,OTHER,2025-03-24
TK00115,C02824,NETWORK,2025-03-05
TK00116,C01408,NETWORK,2025-03-11
TK00117,C01061,OTHER,2025-03-15
TK00118,C02008,BILLING,2025-03-19
TK00119,C01424,NETWORK,2025-03-23
TK00120,C01479,NETWORK,2025-03-18
TK00121,C01588,OTHER,2025-03-17
TK00122,C01343,DEVICE,2025-03-06
TK00123,C01799,DEVICE,2025-03-07
TK00124,C02232,NETWORK,2025-03-01
TK00125,C01048,NETWORK,2025-03-04
TK00126,C02433,NETWORK,2025-03-03
TK00127,C02419,OTHER,2025-03-27
TK00128,C02933,NETWORK,2025-03-12
TK00129,C02290,OTHER,2025-03-09
TK00130,C02475,OTHER,2025-03-17
TK00131,C02379,BILLING,2025-03-09
TK00132,C02986,BILLING,2025-03-22
TK00133,C01884,OTHER,2025-03-21
TK00134,C01081,NETWORK,2025-03-02
TK00135,C01657,BILLING,2025-03-12
TK00136,C02681,DEVICE,2025-03-26
TK00137,C02873,BILLING,2025-03-05
TK00138,C02718,DEVICE,2025-03-15
TK00139,C01951,NETWORK,2025-03-08
TK00140,C02912,DEVICE,2025-03-14
TK00141,C01920,BILLING,2025-03-26
TK00142,C02204,BILLING,2025-03-02
TK00143,C01429,BILLING,2025-03-14
TK00144,C02150,BILLING,2025-03-18
TK00145,C01305,BILLING,2025-03-28
TK00146,C02677,NETWORK,2025-03-18
TK00147,C01869,DEVICE,2025-03-12
TK00148,C01180,OTHER,2025-03-24
