customer_id,name,segment,signup_date
C01001,Customer C01001,ENTERPRISE,2021-11-28
C01002,Customer C01002,CONSUMER,2020-11-11
C01003,Customer C01003,SMB,2023-09-22
C01004,Customer C01004,CONSUMER,2018-04-04
C01005,Customer C01005,SMB,2020-01-14
C01006,Customer C01006,CONSUMER,2021-02-09
C01007,Customer C01007,SMB,2020-10-06
C01008,Customer C01008,ENTERPRISE,2019-11-14
C01009,Customer C01009,CONSUMER,2022-05-28
C01010,Customer C01010,CONSUMER,2021-04-25
C01011,Customer C01011,SMB,2021-04-02
C01012,Customer C01012,ENTERPRISE,2023-09-07
C01013,Customer C01013,CONSUMER,2019-12-15
C01014,Customer C01014,SMB,2022-11-15
C01015,Customer C01015,ENTERPRISE,2021-11-06
C01016,Customer C01016,SMB,2018-10-11
C01017,Customer C01017,ENTERPRISE,2023-08-07
C01018,Customer C01018,CONSUMER,2020-03-20
C01019,Customer C01019,SMB,2019-08-11
C01020,Customer C01020,ENTERPRISE,2023-02-05
C01021,Customer C01021,SMB,2024-03-17
C01022,Customer C01022,ENTERPRISE,2022-07-08
C01023,Customer C01023,SMB,2024-09-15
C01024,Customer C01024,CONSUMER,2018-03-21
C01025,Customer C01025,SMB,2018-03-21
C01026,Customer C01026,CONSUMER,2021-03-09
C01027,Customer C01027,ENTERPRISE,2020-05-15
C01028,Customer C01028,SMB,2018-07-09
C01029,Customer C01029,ENTERPRISE,2021-01-20
C01030,Customer C01030,CONSUMER,2020-02-28
C01031,Customer C01031,ENTERPRISE,2020-12-06
C01032,Customer C01032,SMB,2019-12-02
C01033,Customer C01033,SMB,2021-08-19
C01034,Customer C01034,SMB,2020-04-25
C01035,Customer C01035,ENTERPRISE,2020-02-18
C01036,Customer C01036,CONSUMER,2024-12-18
C01037,Customer C01037,ENTERPRISE,2023-11-15
C01038,Customer C01038,SMB,2021-05-08
C01039,Customer C01039,CONSUMER,2018-11-02
C01040,Customer C01040,ENTERPRISE,2021-05-06
C01041,Customer C01041,ENTERPRISE,2018-05-16
C01042,Customer C01042,ENTERPRISE,2022-04-24
C01043,Customer C01043,ENTERPRISE,2019-09-04
C01044,Customer C01044,ENTERPRISE,2022-10-24
C01045,Customer C01045,CONSUMER,2020-02-18
C01046,Customer C01046,CONSUMER,2022-03-15
C01047,Customer C01047,SMB,2018-01-07
C01048,Customer C01048,SMB,2024-02-02
C01049,Customer C01049,ENTERPRISE,2019-01-20
C01050,Customer C01050,ENTERPRISE,2021-05-06
C01051,Customer C01051,ENTERPRISE,2018-03-19
C01052,Customer C01052,SMB,2022-11-09
C01053,Customer C01053,CONSUMER,2023-09-20
C01054,Customer C01054,CONSUMER,2020-11-04
C01055,Customer C01055,CONSUMER,2022-06-14
C01056,Customer C01056,ENTERPRISE,2021-12-11
C01057,Customer C01057,CONSUMER,2023-07-24
C01058,Customer C01058,CONSUMER,2018-12-26
C01059,Customer C01059,CONSUMER,2024-11-18
C01060,Customer C01060,ENTERPRISE,2018-05-02
C01061,Customer C01061,ENTERPRISE,2023-04-02
C01062,Customer C01062,SMB,2024-06-12
C01063,Customer C01063,ENTERPRISE,2018-06-21
C01064,Customer C01064,SMB,2018-06-13
C01065,Customer C01065,ENTERPRISE,2023-01-11
C01066,Customer C01066,CONSUMER,2024-04-12
C01067,Customer C01067,ENTERPRISE,2019-08-28
C01068,Customer C01068,ENTERPRISE,2019-07-13
C01069,Customer C01069,ENTERPRISE,2023-11-10
C01070,Customer C01070,ENTERPRISE,2021-12-21
C01071,Customer C01071,CONSUMER,2019-04-22
C01072,Customer C01072,ENTERPRISE,2021-01-24
C01073,Customer C01073,ENTERPRISE,2019-08-23
C01074,Customer C01074,CONSUMER,2024-04-10
C01075,Customer C01075,ENTERPRISE,2018-11-18
C01076,Customer C01076,CONSUMER,2018-10-08
C01077,Customer C01077,ENTERPRISE,2020-07-20
C01078,Customer C01078,SMB,2021-07-21
C01079,Customer C01079,ENTERPRISE,2021-06-02
C01080,Customer C01080,SMB,2023-02-19
C01081,Customer C01081,SMB,2020-10-14
C01082,Customer C01082,SMB,2020-01-17
C01083,Customer C01083,CONSUMER,2018-01-05
C01084,Customer C01084,ENTERPRISE,2019-10-07
C01085,Customer C01085,CONSUMER,2019-01-12
C01086,Customer C01086,CONSUMER,2021-01-23
C01087,Customer C01087,SMB,2018-11-18
C01088,Customer C01088,SMB,2022-11-14
C01089,Customer C01089,ENTERPRISE,2020-07-09
C01090,Customer C01090,SMB,2024-01-01
C01091,Customer C01091,SMB,2018-06-01
C01092,Customer C01092,CONSUMER,2020-07-08
C01093,Customer C01093,ENTERPRISE,2021-11-01
C01094,Customer C01094,SMB,2018-06-10
C01095,Customer C01095,SMB,2021-06-03
C01096,Customer C01096,ENTERPRISE,2024-08-10
C01097,Customer C01097,CONSUMER,2019-08-22
C01098,Customer C01098,CONSUMER,2018-10-08
C01099,Customer C01099,CONSUMER,2024-05-22
C01100,Customer C01100,CONSUMER,2023-06-12
C01101,Customer C01101,CONSUMER,2023-05-28
C01102,Customer C01102,SMB,2022-02-09
C01103,Customer C01103,ENTERPRISE,2022-07-07
C01104,Customer C01104,CONSUMER,2020-08-28
C01105,Customer C01105,CONSUMER,2023-08-08
C01106,Customer C01106,SMB,2021-03-23
C01107,Customer C01107,ENTERPRISE,2019-02-20
C01108,Customer C01108,CONSUMER,2023-04-15
C01109,Customer C01109,SMB,2022-08-12
C01110,Customer C01110,CONSUMER,2023-12-23
C01111,Customer C01111,ENTERPRISE,2018-02-07
C01112,Customer C01112,SMB,2018-11-20
C01113,Customer C01113,CONSUMER,2018-10-11
C01114,Customer C01114,CONSUMER,2024-04-01
C01115,Customer C01115,CONSUMER,2021-09-07
C01116,Customer C01116,ENTERPRISE,2023-10-23
C01117,Customer C01117,SMB,2018-01-19
C01118,Customer C01118,ENTERPRISE,2018-11-03
C01119,Customer C01119,SMB,2018-09-03
