installment_id,customer_id,device_id,monthly_amount_usd,remaining_months
IN00001,C02504,DV00105,33.47,7
IN00002,C01831,DV00498,34.24,22
IN00003,C02504,DV00219,10.60,18
IN00004,C02748,DV00466,29.43,21
IN00005,C01931,DV00361,32.21,24
IN00006,C01064,DV00551,26.33,1
IN00007,C02320,DV00472,20.68,3
IN00008,C02962,DV01481,6.56,6
IN00009,C02715,DV01784,40.66,1
IN00010,C01076,DV00496,23.88,19
IN00011,C01001,DV01751,23.29,16
IN00012,C02200,DV00462,8.77,0
IN00013,C01338,DV00326,32.03,8
IN00014,C01774,DV00077,5.50,18
IN00015,C01696,DV00385,23.51,22
IN00016,C02224,DV01793,5.66,9
IN00017,C01072,DV00201,17.57,0
IN00018,C01847,DV01137,19.63,13
IN00019,C01189,DV01331,38.70,20
IN00020,C02138,DV00070,25.79,17
IN00021,C02737,DV01262,21.51,12
IN00022,C02915,DV00768,40.86,0
IN00023,C02050,DV01776,28.71,16
IN00024,C01452,DV01480,20.03,19
IN00025,C02888,DV00574,40.58,10
IN00026,C01743,DV00441,15.78,10
IN00027,C02913,DV00135,39.52,12
IN00028,C01058,DV00446,38.54,20
IN00029,C01802,DV00756,28.03,9
IN00030,C02499,DV01755,16.87,8
IN00031,C01674,DV01635,24.85,22
IN00032,C01575,DV00891,24.72,2
IN00033,C01582,DV00581,12.40,21
IN00034,C02503,DV00956,34.19,5
IN00035,C02002,DV00831,31.54,0
IN00036,C02604,DV01467,12.17,16
IN00037,C02848,DV00758,37.32,18
IN00038,C01586,DV00745,15.76,5
IN00039,C01046,DV01536,41.76,7
IN00040,C01257,DV01365,17.73,9
IN00041,C01395,DV01078,40.54,21
IN00042,C02338,DV01242,5.86,21
IN00043,C02076,DV00590,42.18,5
IN00044,C01401,DV01552,37.51,4
IN00045,C01394,DV00843,7.48,14
IN00046,C02826,DV00896,41.92,14
IN00047,C01317,DV00616,43.39,2
IN00048,C02509,DV01636,15.54,5
IN00049,C01120,DV01703,25.31,7
IN00050,C02816,DV00113,6.64,10
IN00051,C01742,DV00183,10.23,13
IN00052,C01701,DV00827,11.42,6
IN00053,C03000,DV01092,34.66,5
IN00054,C01689,DV01241,37.41,1
IN00055,C02515,DV00834,25.80,3
IN00056,C01254,DV00972,22.97,22
IN00057,C01194,DV01066,5.18,6
IN00058,C01398,DV01383,29.30,11
IN00059,C01262,DV01196,18.13,11
IN00060,C01885,DV00341,13.98,2
IN00061,C02179,DV00750,37.27,23
IN00062,C01358,DV01132,33.71,4
IN00063,C01022,DV00295,22.86,0
IN00064,C01326,DV00908,29.29,17
IN00065,C01383,DV01768,22.28,11
IN00066,C01124,DV01705,18.14,23
IN00067,C01482,DV01372,22.68,11
IN00068,C02901,DV00508,25.01,23
IN00069,C01333,DV00527,30.43,4
IN00070,C02811,DV01338,31.32,8
IN00071,C02647,DV00126,20.35,11
IN00072,C01307,DV00558,7.19,8
IN00073,C01316,DV01111,9.57,9
IN00074,C02710,DV00621,41.72,1
IN00075,C02798,DV01167,26.01,9
IN00076,C02921,DV00999,32.74,18
IN00077,C02616,DV00067,20.57,19
IN00078,C02070,DV01532,21.88,21
IN00079,C01080,DV01338,7.47,3
IN00080,C02445,DV00780,42.93,4
IN00081,C02487,DV00612,22.34,4
IN00082,C02085,DV01250,38.48,1
IN00083,C01851,DV00341,12.10,16
IN00084,C02167,DV00264,39.75,6
IN00085,C01828,DV00671,5.31,18
IN00086,C02994,DV01167,21.93,3
IN00087,C01298,DV00554,37.94,5
IN00088,C02724,DV00674,38.41,16
IN00089,C02283,DV01192,24.54,14
IN00090,C02587,DV01673,39.53,4
IN00091,C01406,DV01346,30.76,13
IN00092,C01042,DV01564,40.42,18
IN00093,C02293,DV01304,43.13,13
IN00094,C01584,DV01396,9.77,8
IN00095,C01988,DV01150,17.60,21
IN00096,C02786,DV00622,14.18,2
IN00097,C02348,DV01700,16.03,2
IN00098,C02332,DV00431,24.75,5
IN00099,C02977,DV00825,31.33,0
IN00100,C02755,DV01644,7.24,16
IN00101,C01729,DV00451,44.48,14
IN00102,C02122,DV01176,37.55,10
IN00103,C02259,DV00744,14.81,8
IN00104,C02522,DV01650,26.37,12
IN00105,C01476,DV00170,24.19,24
IN00106,C02844,DV01335,28.98,20
IN00107,C02266,DV00088,30.96,10
IN00108,C01307,DV00532,29.50,8
IN00109,C02078,DV00076,36.77,22
IN00110,C01444,DV01182,10.50,0
IN00111,C01033,DV01028,30.08,4
IN00112,C01499,DV01609,18.85,9
IN00113,C02098,DV00835,42.27,21
IN00114,C02536,DV01182,39.96,21
IN00115,C01243,DV00513,28.68,19
IN00116,C02548,DV00051,37.38,11
IN00117,C02426,DV00553,41.68,22
IN00118,C01338,DV00826,6.13,18
IN00119,C02348,DV00795,22.25,16
IN00120,C01075,DV00048,23.90,24
IN00121,C01848,DV01448,27.92,18
IN00122,C01504,DV01638,36.71,15
IN00123,C01172,DV00678,41.02,9
IN00124,C01884,DV00673,28.17,20
IN00125,C01522,DV01762,23.48,14
IN00126,C02472,DV01429,21.37,16
IN00127,C02915,DV01284,28.60,0
IN00128,C02822,DV00724,44.36,5
IN00129,C02187,DV01712,7.60,17
IN00130,C01216,DV01597,6.60,20
IN00131,C01540,DV00854,34.75,2
IN00132,C02615,DV01442,24.37,14
IN00133,C02132,DV00977,31.99,9
IN00134,C02438,DV01154,40.98,14
IN00135,C01252,DV01640,33.88,21
IN00136,C02939,DV01620,28.13,8
IN00137,C02328,DV01709,11.97,16
IN00138,C01617,DV00907,40.54,19
IN00139,C02379,DV00409,9.76,21
IN00140,C02442,DV01128,30.24,17
IN00141,C02761,DV00896,25.53,20
IN00142,C01024,DV01310,28.58,3
IN00143,C01128,DV00685,36.47,16
IN00144,C02951,DV01223,15.81,18
IN00145,C01704,DV00621,34.75,23
IN00146,C02112,DV00532,37.00,5
IN00147,C02856,DV00459,30.65,23
IN00148,C02709,DV00086,24.49,17
IN00149,C02307,DV00132,10.51,20
IN00150,C02314,DV01779,12.01,15
IN00151,C01452,DV00618,27.26,9
IN00152,C02108,DV01581,44.21,23
IN00153,C01280,DV01488,11.37,21
IN00154,C01250,DV01575,38.36,16
IN00155,C02461,DV01169,17.06,21
IN00156,C02606,DV00393,16.00,1
IN00157,C01735,DV00358,39.58,8
IN00158,C02532,DV01196,6.73,9
IN00159,C01014,DV01118,24.96,9
IN00160,C02906,DV00167,44.96,15
IN00161,C01705,DV01436,27.66,0
IN00162,C02094,DV00090,11.47,20
IN00163,C02416,DV01184,11.29,18
IN00164,C02602,DV01623,23.10,9
IN00165,C01421,DV01369,8.61,21
IN00166,C02302,DV01098,19.38,20
IN00167,C01109,DV01646,43.64,21
IN00168,C02159,DV00209,39.84,0
IN00169,C01993,DV01573,44.28,14
IN00170,C02434,DV00303,36.20,2
IN00171,C01602,DV01398,24.54,16
IN00172,C01817,DV00180,20.44,5
IN00173,C01202,DV00761,26.27,20
IN00174,C01201,DV00996,12.54,0
IN00175,C01797,DV01508,39.44,12
IN00176,C02694,DV01514,12.63,5
IN00177,C01109,DV00575,5.84,3
IN00178,C01636,DV00107,33.84,5
IN00179,C01476,DV00173,24.43,16
IN00180,C02414,DV01633,21.24,20
IN00181,C02260,DV01741,27.54,3
IN00182,C01782,DV01315,9.69,11
IN00183,C02304,DV00036,16.55,9
IN00184,C01943,DV00703,11.70,21
IN00185,C01327,DV01553,25.74,7
IN00186,C01670,DV01280,38.43,14
IN00187,C01178,DV01615,43.90,23
IN00188,C02851,DV01247,17.59,16
IN00189,C01231,DV00404,5.14,21
IN00190,C01070,DV01370,7.73,23
IN00191,C02558,DV00683,19.41,2
