device_id,customer_id,model,imei
DV00001,C02892,Lite,609113938308179
DV00002,C02289,Z5,257463639743402
DV00003,C02355,Lite,000631220436848
DV00004,C02062,Z5,129730584825149
DV00005,C01117,A13,238957449565668
DV00006,C01169,X9,059241936651842
DV00007,C01650,X9,234351681075526
DV00008,C02915,A13,634500074264534
DV00009,C02459,A12,680474662436082
DV00010,C01677,X9,761529715660239
DV00011,C01921,Z5,226777869618719
DV00012,C01225,X9,061905295484198
DV00013,C02977,A13,401683902690221
DV00014,C02706,Z5,766465164643555
DV00015,C02580,X9,007697734021884
DV00016,C02091,A12,205571581030691
DV00017,C01522,A13,837809707840568
DV00018,C02328,A12,207399842058837
DV00019,C01892,Z5,494139060418031
DV00020,C01430,Lite,234218588587840
DV00021,C02671,Z5,868561757611876
DV00022,C01785,Z5,566311496018444
DV00023,C02256,Lite,868516956560728
DV00024,C01900,Z5,632933440156392
DV00025,C01840,A12,018938923399867
DV00026,C01825,A13,397969804199840
DV00027,C01911,X9,796444674543276
DV00028,C02547,Z5,314940523447095
DV00029,C01374,Z5,653572962842478
DV00030,C02110,Lite,330179772023232
DV00031,C02291,Lite,275643778611292
DV00032,C02254,Z5,768132247129365
DV00033,C02107,A12,286437816806244
DV00034,C01617,X9,522103184921994
DV00035,C02170,A13,357596684975188
DV00036,C02154,Z5,361618421867648
DV00037,C01071,A13,222747065021037
DV00038,C02287,Lite,723699495357912
DV00039,C02987,A12,286950089032895
DV00040,C01039,A12,151150341068229
DV00041,C01567,Z5,036671418956908
DV00042,C02688,Z5,449230448958192
DV00043,C02762,Z5,736674201770310
DV00044,C01116,A13,076841624830852
DV00045,C01103,Z5,634499755534065
DV00046,C02150,Z5,936696132974323
DV00047,C01227,X9,984666128124692
DV00048,C02761,Lite,814053877684251
DV00049,C02795,X9,295779797508977
DV00050,C02679,A12,177985254238185
DV00051,C02387,A12,066742235702117
DV00052,C02062,A13,054366946996980
DV00053,C01774,Z5,309378589230692
DV00054,C01867,X9,923205034217122
DV00055,C02951,Lite,015045122179342
DV00056,C02885,Z5,532340897930274
DV00057,C02325,A12,833976255929865
DV00058,C02210,A12,546612406545759
DV00059,C01098,X9,891132725696848
DV00060,C02245,X9,507037460904668
DV00061,C01083,Lite,938477615411126
DV00062,C01702,Lite,955801156890499
DV00063,C02511,Z5,764660377006461
DV00064,C02247,Z5,196362001479101
DV00065,C01798,A13,036560870791702
DV00066,C01062,X9,632552148668074
DV00067,C01845,Lite,855353548710555
DV00068,C02638,Z5,018821338465959
DV00069,C02169,X9,640849531019929
DV00070,C02752,Z5,901943744676202
DV00071,C01151,Z5,772888575983626
DV00072,C01891,Lite,456746148195923
DV00073,C01590,A13,388621212642920
DV00074,C01657,Lite,172144986914898
DV00075,C01560,A12,379383720256997
DV00076,C01670,A12,863472350844437
DV00077,C01700,A13,784765898328586
DV00078,C01718,A13,566098614989517
DV00079,C01015,A13,711582946184903
DV00080,C02475,A13,133112885043302
DV00081,C01216,Lite,956027054214288
DV00082,C01112,A12,359252851429748
DV00083,C02677,Lite,041126529438769
DV00084,C02182,Lite,973794479957451
DV00085,C01162,A12,545184846051223
DV00086,C02886,A12,465830371846407
DV00087,C02319,A13,511569020196152
DV00088,C01779,Lite,698651176933252
DV00089,C01924,A12,383820185624438
DV00090,C02972,A13,967143464449584
DV00091,C01274,A12,355754823303523
DV00092,C01935,Z5,697585189331737
DV00093,C02128,Z5,171970442157507
DV00094,C01381,Z5,536593584644863
DV00095,C01384,Lite,137349868730635
DV00096,C02332,X9,071976668262014
DV00097,C01795,A13,816344493011961
DV00098,C02007,X9,135471489762684
DV00099,C02034,A13,976331274062315
DV00100,C01815,A13,077985864994291
DV00101,C02748,Lite,523782475112877
DV00102,C01921,A13,813433343383541
DV00103,C01248,A12,104792981431255
DV00104,C02865,Lite,066591993156649
DV00105,C02225,X9,367241869747100
DV00106,C02188,Lite,270863676351129
DV00107,C01440,A13,810653112746122
DV00108,C01110,A13,118986350250378
DV00109,C01867,Lite,209477926623560
DV00110,C02581,A12,499430265142183
DV00111,C01730,Lite,667168426337485
DV00112,C01994,Lite,564272623519537
DV00113,C01507,A12,897144283720183
DV00114,C02743,Lite,309156067793572
DV00115,C02552,X9,298720286352749
DV00116,C01700,Lite,234061073316782
DV00117,C01266,Lite,698680568122951
DV00118,C01743,Lite,030570813201861
DV00119,C02666,A13,362931422993514
DV00120,C02802,Z5,044850833031279
DV00121,C02718,A12,461228981076280
DV00122,C02396,A13,389630321991632
DV00123,C02711,X9,446256995919634
DV00124,C01753,X9,412438406311136
DV00125,C01250,A12,347155453414520
DV00126,C02661,X9,159179644355084
DV00127,C01133,A12,616569313608549
DV00128,C02050,A12,455081049801618
DV00129,C01995,Lite,320528585383193
DV00130,C01363,Z5,443271751489331
DV00131,C01584,A13,685831751140353
DV00132,C01631,Lite,656027655791433
DV00133,C01866,Z5,265954977482060
DV00134,C02357,Lite,069153815695888
DV00135,C01770,Lite,841398471639297
DV00136,C02685,A13,111070321455919
DV00137,C01201,A13,035128461476132
DV00138,C02868,Z5,541260996687221
DV00139,C02478,Z5,246515355540596
DV00140,C01957,Z5,995828329537077
DV00141,C01591,Z5,622449475580256
DV00142,C01933,X9,598724592215095
DV00143,C01626,A12,384974635278873
DV00144,C01749,Z5,672171480474132
DV00145,C01002,X9,301204477253636
DV00146,C02294,Lite,115974119127874
DV00147,C02031,A12,494464970292274
DV00148,C01940,X9,130161407603565
DV00149,C01138,A12,622783159562223
DV00150,C02140,Lite,177366468439841
DV00151,C01537,Z5,993988883651252
DV00152,C01639,A13,193959765973086
DV00153,C02118,X9,512874000137966
DV00154,C02388,A13,900799360403674
DV00155,C01645,X9,254065344639704
DV00156,C02314,A12,857809014273486
DV00157,C01693,A12,014912480699657
DV00158,C01793,Lite,769329062667272
DV00159,C01594,A13,778707245315918
DV00160,C01928,A13,586368733725814
DV00161,C01640,A13,768833750184747
DV00162,C02853,X9,789004231521994
DV00163,C02093,A12,921529300906710
DV00164,C01805,A12,833164394209928
DV00165,C02141,A12,807355575244967
DV00166,C01263,A13,089744011142563
DV00167,C02286,X9,742427577910406
DV00168,C02423,A12,458754090544529
DV00169,C01650,X9,387346879526864
DV00170,C01406,A12,763103257467129
DV00171,C01840,A12,591323613873614
DV00172,C02625,A12,508687875034363
DV00173,C01591,X9,429021962905298
DV00174,C01525,Lite,290803996474761
DV00175,C02282,A12,516373785423353
DV00176,C02197,A12,252042511023011
DV00177,C01411,A12,159468437599681
DV00178,C01581,A12,498955475862772
DV00179,C01847,Z5,185954620910224
DV00180,C02039,A13,964421416145652
DV00181,C02055,X9,036779538642800
DV00182,C02694,Z5,445702538062528
DV00183,C01912,A12,327854857013034
DV00184,C01538,A12,959539718504518
DV00185,C02290,Lite,565112349571304
DV00186,C01731,X9,649608691865746
DV00187,C01705,A13,792958742706544
DV00188,C02403,A12,813045908610830
DV00189,C02211,A12,747559867648541
DV00190,C02290,A13,811993306718304
DV00191,C02875,X9,594883826946465
DV00192,C02699,A13,855285599096803
DV00193,C01956,A12,286671157961695
DV00194,C02014,Lite,496940019400450
DV00195,C02699,A13,685498201844164
DV00196,C02293,Lite,644922738475544
DV00197,C02431,Lite,519027947100948
DV00198,C01969,Lite,857412954799355
DV00199,C01645,A13,781575493086396
DV00200,C02268,X9,479711228426215
DV00201,C01268,A13,741608126633664
DV00202,C01513,A12,745093532306251
DV00203,C02481,A12,507560770568515
DV00204,C02621,A12,581297873986567
DV00205,C01120,Z5,336690201310200
DV00206,C02296,A13,180950590829385
DV00207,C01414,Lite,700222990835343
DV00208,C01650,Lite,472197246687985
DV00209,C01769,X9,796204858008715
DV00210,C02876,Lite,725826626289830
DV00211,C01758,A13,483494816567138
DV00212,C01212,A13,789672665593907
DV00213,C01576,A13,346486870010259
