invoice_id,subscription_id,cycle,total_usd
IV000001,S01320,2025-02,74.68
IV000002,S01047,2025-02,184.13
IV000003,S00462,2025-02,148.64
IV000004,S01951,2025-02,133.58
IV000005,S01943,2025-02,46.98
IV000006,S00054,2025-02,112.53
IV000007,S00932,2025-02,155.67
IV000008,S00383,2025-02,175.41
IV000009,S00634,2025-02,125.09
IV000010,S01104,2025-02,78.94
IV000011,S01647,2025-02,116.75
IV000012,S00514,2025-02,194.05
IV000013,S01509,2025-02,127.03
IV000014,S01207,2025-02,108.46
IV000015,S01738,2025-02,49.71
IV000016,S01806,2025-02,39.91
IV000017,S01559,2025-02,190.03
IV000018,S01676,2025-02,47.98
IV000019,S00004,2025-02,87.77
IV000020,S01605,2025-02,20.99
IV000021,S00982,2025-02,72.13
IV000022,S01370,2025-02,117.00
IV000023,S00181,2025-02,88.64
IV000024,S00474,2025-02,182.11
IV000025,S00803,2025-02,31.07
IV000026,S00929,2025-02,78.37
IV000027,S01133,2025-02,105.10
IV000028,S01009,2025-02,60.06
IV000029,S00235,2025-02,55.44
IV000030,S00988,2025-02,29.54
IV000031,S01739,2025-02,87.48
IV000032,S00582,2025-02,148.81
IV000033,S00793,2025-02,87.60
IV000034,S01224,2025-02,174.37
IV000035,S01176,2025-02,107.09
IV000036,S01238,2025-02,74.99
IV000037,S01253,2025-02,115.53
IV000038,S00733,2025-02,80.51
IV000039,S01596,2025-02,68.33
IV000040,S00678,2025-02,92.13
IV000041,S01021,2025-02,191.41
IV000042,S01480,2025-02,125.18
IV000043,S01624,2025-02,179.22
IV000044,S01663,2025-02,76.78
IV000045,S00033,2025-02,90.36
IV000046,S01969,2025-02,191.13
IV000047,S01090,2025-02,187.94
IV000048,S00620,2025-02,193.63
IV000049,S01339,2025-02,155.87
IV000050,S01952,2025-02,43.85
IV000051,S00650,2025-02,71.94
IV000052,S01868,2025-02,39.66
IV000053,S00105,2025-02,149.48
IV000054,S00599,2025-02,65.17
IV000055,S01891,2025-02,93.53
IV000056,S00608,2025-02,107.83
IV000057,S01223,2025-02,168.45
IV000058,S00242,2025-02,147.63
IV000059,S00682,2025-02,97.27
IV000060,S01160,2025-02,149.84
IV000061,S01543,2025-02,103.25
IV000062,S00577,2025-02,28.01
IV000063,S00623,2025-02,110.32
IV000064,S00500,2025-02,189.34
IV000065,S01956,2025-02,131.93
IV000066,S00394,2025-02,42.43
IV000067,S00862,2025-02,103.89
IV000068,S01750,2025-02,139.83
IV000069,S01600,2025-02,46.80
IV000070,S01011,2025-02,32.15
IV000071,S00523,2025-02,134.77
IV000072,S00924,2025-02,70.51
IV000073,S00857,2025-02,56.41
IV000074,S01732,2025-02,74.69
IV000075,S00392,2025-02,39.21
IV000076,S00996,2025-02,135.80
IV000077,S00417,2025-02,84.73
IV000078,S00992,2025-02,78.52
IV000079,S01197,2025-02,21.94
IV000080,S01714,2025-02,156.72
IV000081,S01600,2025-02,91.05
IV000082,S01271,2025-02,87.10
IV000083,S01551,2025-02,86.20
IV000084,S00902,2025-02,125.52
IV000085,S00283,2025-02,140.88
IV000086,S01751,2025-02,131.72
IV000087,S01446,2025-02,58.03
IV000088,S01005,2025-02,191.74
IV000089,S00961,2025-02,115.88
IV000090,S01067,2025-02,87.08
IV000091,S01972,2025-02,148.05
IV000092,S01096,2025-02,42.09
IV000093,S01286,2025-02,197.25
IV000094,S00645,2025-02,53.96
IV000095,S01629,2025-02,154.98
IV000096,S01046,2025-02,141.11
IV000097,S01842,2025-02,119.59
IV000098,S01650,2025-02,98.07
IV000099,S00200,2025-02,47.57
IV000100,S00047,2025-02,156.02
IV000101,S00110,2025-02,150.52
IV000102,S01686,2025-02,61.03
IV000103,S01993,2025-02,91.76
IV000104,S00472,2025-02,146.30
IV000105,S01758,2025-02,191.66
IV000106,S01920,2025-02,113.06
IV000107,S01526,2025-02,145.78
IV000108,S01127,2025-02,26.54
IV000109,S00861,2025-02,93.60
IV000110,S00550,2025-02,28.87
IV000111,S01069,2025-02,89.90
IV000112,S00231,2025-02,194.59
IV000113,S01045,2025-02,136.11
IV000114,S01822,2025-02,138.84
IV000115,S01110,2025-02,183.00
IV000116,S00193,2025-02,100.33
IV000117,S01863,2025-02,43.31
IV000118,S01337,2025-02,34.80
IV000119,S00907,2025-02,153.48
IV000120,S00107,2025-02,170.46
IV000121,S01425,2025-02,82.27
IV000122,S01769,2025-02,123.50
IV000123,S01138,2025-02,75.89
IV000124,S00111,2025-02,57.63
IV000125,S01834,2025-02,69.41
IV000126,S00360,2025-02,100.56
IV000127,S00739,2025-02,159.13
IV000128,S01763,2025-02,101.46
IV000129,S01865,2025-02,51.65
IV000130,S01297,2025-02,184.53
IV000131,S01003,2025-02,76.79
IV000132,S00348,2025-02,132.51
IV000133,S00771,2025-02,30.28
IV000134,S01834,2025-02,137.96
IV000135,S00729,2025-02,49.10
IV000136,S01671,2025-02,166.40
IV000137,S01432,2025-02,184.95
IV000138,S01472,2025-02,59.22
IV000139,S00757,2025-02,69.87
IV000140,S01751,2025-02,171.89
IV000141,S01540,2025-02,64.34
IV000142,S00894,2025-02,46.08
IV000143,S00717,2025-02,46.22
IV000144,S01430,2025-02,76.42
IV000145,S01036,2025-02,108.40
IV000146,S00544,2025-02,83.47
IV000147,S01215,2025-02,74.06
IV000148,S01251,2025-02,161.93
IV000149,S01147,2025-02,171.35
IV000150,S01934,2025-02,48.52
IV000151,S00098,2025-02,168.72
IV000152,S00053,2025-02,71.49
IV000153,S01249,2025-02,128.33
IV000154,S00583,2025-02,32.96
IV000155,S00129,2025-02,39.80
IV000156,S00479,2025-02,71.39
IV000157,S01622,2025-02,101.80
IV000158,S00761,2025-02,183.90
IV000159,S00829,2025-02,65.85
IV000160,S00414,2025-02,134.54
IV000161,S01115,2025-02,67.18
IV000162,S01750,2025-02,172.43
IV000163,S01483,2025-02,86.66
IV000164,S00860,2025-02,185.91
IV000165,S00915,2025-02,54.54
IV000166,S00131,2025-02,54.50
IV000167,S01943,2025-02,102.46
IV000168,S00880,2025-02,91.88
IV000169,S00362,2025-02,163.73
IV000170,S00841,2025-02,107.46
IV000171,S01058,2025-02,57.56
IV000172,S00625,2025-02,136.87
IV000173,S01653,2025-02,168.35
IV000174,S00957,2025-02,150.56
IV000175,S00517,2025-02,134.95
IV000176,S01698,2025-02,127.26
