subscription_id,prev_plan_id,new_plan_id,effective_date
S00152,P1,P4,2025-03-03
S00910,P3,P1,2025-03-24
S00742,P4,P2,2025-03-03
S00741,P1,P1,2025-03-14
S01779,P1,P3,2025-03-24
S01109,P2,P3,2025-03-07
S01702,P3,P2,2025-03-02
S00107,P1,P1,2025-01-03
S00344,P1,P3,2025-03-15
S00625,P4,P3,2025-03-28
S00306,P4,P1,2025-03-16
S00398,P1,P3,2025-03-31
S00286,P4,P2,2025-03-10
S00568,P4,P3,2025-04-22
S01023,P3,P1,2025-04-08
S01544,P4,P3,2025-03-25
S00403,P1,P2,2025-03-31
S01095,P3,P1,2025-03-16
S00320,P4,P1,2025-02-22
S00011,P1,P2,2025-01-10
S00930,P4,P3,2025-03-20
S01228,P4,P2,2025-03-25
S00179,P3,P1,2025-03-29
S00355,P3,P1,2025-03-03
S01899,P2,P3,2025-01-25
S01110,P4,P1,2025-03-01
S00699,P4,P2,2025-02-07
S01574,P3,P4,2025-03-23
S01667,P3,P2,2025-03-10
S00415,P1,P2,2025-01-15
S00442,P4,P1,2025-03-27
S01549,P2,P1,2025-03-15
S01993,P1,P2,2025-03-18
S01560,P3,P2,2025-03-26
S00240,P2,P1,2025-03-02
S00394,P4,P1,2025-02-01
S00288,P1,P1,2025-03-08
S00974,P1,P1,2025-04-27
S01049,P4,P1,2025-02-18
S00014,P2,P1,2025-03-30
S01289,P3,P2,2025-02-02
S01265,P4,P2,2025-03-04
S00633,P2,P1,2025-03-15
S00227,P1,P1,2025-03-15
S01001,P2,P1,2025-03-28
S01281,P2,P1,2025-03-13
S01455,P2,P4,2025-02-09
S00360,P3,P1,2025-02-08
S00365,P4,P1,2025-03-02
S00231,P3,P2,2025-03-19
S01972,P3,P1,2025-04-03
S01720,P4,P3,2025-03-29
S00328,P4,P1,2025-03-26
S00436,P4,P1,2025-03-31
S01305,P3,P3,2025-03-21
S00704,P3,P1,2025-01-21
S01103,P1,P2,2025-03-31
S00336,P3,P4,2025-03-30
S00486,P2,P1,2025-03-12
S00481,P3,P1,2025-03-19
S00346,P4,P1,2025-03-15
S00686,P4,P4,2025-03-25
S00088,P1,P2,2025-01-05
S00833,P3,P3,2025-02-09
S01799,P3,P2,2025-04-01
