promo_code,discount_usd,applies_to_tier
PR001,5.39,GOLD
PR002,11.14,ALL
PR003,11.76,SILVER
PR004,12.20,ALL
PR005,6.27,BRONZE
PR006,13.73,GOLD
PR007,5.93,GOLD
PR008,3.73,GOLD
PR009,9.71,SILVER
PR010,4.58,BRONZE
PR011,8.71,BRONZE
PR012,8.60,GOLD
PR013,7.13,SILVER
PR014,7.99,BRONZE
PR015,2.30,GOLD
PR016,13.81,SILVER
PR017,5.45,GOLD
PR018,7.48,ALL
PR019,2.44,BRONZE
PR020,2.02,BRONZE
PR021,2.13,BRONZE
PR022,3.51,GOLD
PR023,3.83,BRONZE
PR024,9.32,GOLD
PR025,8.36,GOLD
PR026,7.50,ALL
PR027,14.74,ALL
PR028,9.71,GOLD
PR029,13.83,BRONZE
PR030,10.04,BRONZE
PR031,13.43,BRONZE
PR032,10.73,ALL
PR033,10.55,ALL
PR034,8.02,BRONZE
PR035,5.36,SILVER
PR036,4.50,SILVER
PR037,11.09,BRONZE
PR038,9.89,SILVER
PR039,3.89,SILVER
PR040,10.68,GOLD
