subscription_id,country,charge_usd,ts
S01513,UK,14.00,2025-03-18T21:45:00Z
S00256,MX,30.52,2025-03-04T02:11:00Z
S01340,JP,37.04,2025-03-21T18:18:00Z
S00496,CA,48.99,2025-03-19T16:04:00Z
S00882,CA,9.85,2025-03-07T05:04:00Z
S00562,CA,22.03,2025-03-05T20:41:00Z
S01358,JP,26.76,2025-03-08T12:45:00Z
S00502,JP,33.57,2025-03-26T06:38:00Z
S00095,CA,37.91,2025-03-13T11:26:00Z
S01903,CA,39.30,2025-03-17T11:13:00Z
S01334,CA,46.23,2025-03-11T19:01:00Z
S00569,MX,33.90,2025-03-27T18:06:00Z
S00476,MX,17.54,2025-03-03T20:11:00Z
S00896,UK,27.12,2025-03-13T05:06:00Z
S00841,CA,23.06,2025-03-03T22:19:00Z
S00995,UK,40.12,2025-03-09T04:09:00Z
S01578,CA,16.42,2025-03-27T18:37:00Z
S01155,CA,41.10,2025-03-19T21:27:00Z
S00816,MX,16.95,2025-03-17T18:01:00Z
S00267,JP,41.89,2025-03-28T11:52:00Z
S00941,CA,8.47,2025-03-26T00:09:00Z
S01180,JP,28.07,2025-03-03T02:33:00Z
S00345,UK,38.78,2025-03-12T05:10:00Z
S00654,DE,35.73,2025-03-11T10:24:00Z
S01618,UK,29.47,2025-03-12T19:17:00Z
S01176,DE,10.09,2025-03-09T22:05:00Z
S01305,CA,8.75,2025-03-18T22:18:00Z
S02000,DE,27.56,2025-03-11T20:22:00Z
S00377,JP,21.36,2025-03-26T03:29:00Z
S00741,DE,32.14,2025-03-07T06:21:00Z
S01248,JP,42.16,2025-03-08T20:04:00Z
S01635,MX,32.91,2025-03-11T23:12:00Z
S01488,JP,3.20,2025-03-18T20:00:00Z
S01104,JP,30.70,2025-03-02T22:55:00Z
S01452,JP,29.31,2025-03-05T03:13:00Z
S01814,UK,28.11,2025-03-24T06:50:00Z
S00672,DE,27.41,2025-03-15T11:58:00Z
S01748,UK,27.14,2025-03-05T03:36:00Z
S00392,MX,15.85,2025-03-11T16:45:00Z
S01939,CA,44.11,2025-03-14T11:58:00Z
S01874,JP,21.38,2025-03-18T11:32:00Z
S00288,UK,39.70,2025-03-28T17:29:00Z
S01454,JP,24.19,2025-03-13T03:47:00Z
S00995,MX,5.73,2025-03-14T18:07:00Z
S01596,UK,48.98,2025-03-02T21:54:00Z
S01888,UK,40.54,2025-03-04T18:49:00Z
S01359,JP,22.91,2025-03-26T06:30:00Z
S00230,DE,9.77,2025-03-07T22:36:00Z
S01391,MX,23.18,2025-03-09T09:51:00Z
S01544,JP,9.78,2025-03-07T22:38:00Z
S00012,JP,6.44,2025-03-13T00:41:00Z
S00453,UK,44.44,2025-03-06T06:43:00Z
S01993,DE,43.91,2025-03-01T06:53:00Z
S01642,JP,5.95,2025-03-28T19:07:00Z
S00860,MX,17.86,2025-03-27T21:33:00Z
S01515,MX,27.89,2025-03-19T02:14:00Z
S00289,JP,14.82,2025-03-03T13:04:00Z
S00002,JP,49.36,2025-03-05T10:47:00Z
S00629,CA,14.39,2025-03-04T13:05:00Z
S00688,UK,37.96,2025-03-11T01:23:00Z
S00096,MX,48.35,2025-03-09T07:46:00Z
S00008,DE,41.44,2025-03-03T14:00:00Z
S00400,UK,20.39,2025-03-22T18:20:00Z
S00007,CA,25.41,2025-03-27T16:10:00Z
S01622,CA,32.33,2025-03-22T00:10:00Z
S01834,MX,15.53,2025-03-05T00:19:00Z
S01142,UK,7.77,2025-03-28T17:14:00Z
S01567,DE,41.65,2025-03-13T00:58:00Z
S01419,UK,5.85,2025-03-17T03:30:00Z
S00757,UK,42.11,2025-03-19T21:49:00Z
S01443,DE,14.11,2025-03-24T17:50:00Z
S01141,UK,36.43,2025-03-26T02:37:00Z
S01036,UK,26.31,2025-03-22T08:53:00Z
S00244,MX,16.20,2025-03-20T03:24:00Z
S00443,DE,47.85,2025-03-23T18:01:00Z
S01288,JP,33.07,2025-03-19T22:15:00Z
S00381,CA,15.56,2025-03-16T05:32:00Z
S00464,MX,2.25,2025-03-10T06:24:00Z
S01335,DE,42.80,2025-03-21T23:12:00Z
S01896,MX,38.48,2025-03-09T18:05:00Z
S01551,UK,44.24,2025-03-10T06:06:00Z
S00185,UK,43.35,2025-03-07T16:39:00Z
S01131,DE,13.32,2025-03-04T00:06:00Z
S01235,DE,17.80,2025-03-21T15:59:00Z
S00387,JP,29.85,2025-03-07T22:55:00Z
S00247,JP,28.63,2025-03-23T14:01:00Z
