sim_iccid,status,subscription_id
8901000000000000001,ACTIVE,S00828
8901000000000000002,ACTIVE,S01891
8901000000000000003,SPARE,S01723
8901000000000000004,RETIRED,S00060
8901000000000000005,SPARE,S01297
8901000000000000006,RETIRED,S01354
8901000000000000007,ACTIVE,S00948
8901000000000000008,ACTIVE,S01340
8901000000000000009,SPARE,S01723
8901000000000000010,SPARE,S01330
8901000000000000011,SPARE,S01121
8901000000000000012,SPARE,S00587
8901000000000000013,ACTIVE,S01814
8901000000000000014,SPARE,S01992
8901000000000000015,ACTIVE,S00515
8901000000000000016,RETIRED,S01059
8901000000000000017,SPARE,S00686
8901000000000000018,SPARE,S00123
8901000000000000019,SPARE,S01732
8901000000000000020,ACTIVE,S00784
8901000000000000021,SPARE,S00591
8901000000000000022,RETIRED,S00069
8901000000000000023,ACTIVE,S01832
8901000000000000024,RETIRED,S01666
8901000000000000025,SPARE,S01475
8901000000000000026,RETIRED,S01994
8901000000000000027,RETIRED,S00466
8901000000000000028,ACTIVE,S01486
8901000000000000029,RETIRED,S00519
8901000000000000030,RETIRED,S01843
8901000000000000031,ACTIVE,S00193
8901000000000000032,SPARE,S00015
8901000000000000033,RETIRED,S01034
8901000000000000034,RETIRED,S01553
8901000000000000035,SPARE,S01907
8901000000000000036,ACTIVE,S00646
8901000000000000037,RETIRED,S00215
8901000000000000038,SPARE,S01174
8901000000000000039,SPARE,S00038
8901000000000000040,SPARE,S01774
8901000000000000041,RETIRED,S00957
8901000000000000042,SPARE,S01455
8901000000000000043,ACTIVE,S00844
8901000000000000044,ACTIVE,S00324
8901000000000000045,RETIRED,S00536
8901000000000000046,SPARE,S00283
8901000000000000047,RETIRED,S01521
8901000000000000048,RETIRED,S01797
8901000000000000049,RETIRED,S00417
8901000000000000050,ACTIVE,S01131
8901000000000000051,ACTIVE,S00863
8901000000000000052,ACTIVE,S00807
8901000000000000053,SPARE,S00010
8901000000000000054,ACTIVE,S00607
8901000000000000055,SPARE,S00297
8901000000000000056,RETIRED,S00854
8901000000000000057,SPARE,S01967
8901000000000000058,ACTIVE,S00491
8901000000000000059,SPARE,S00833
8901000000000000060,SPARE,S01847
8901000000000000061,SPARE,S01726
8901000000000000062,RETIRED,S01004
8901000000000000063,ACTIVE,S00133
8901000000000000064,SPARE,S00626
8901000000000000065,ACTIVE,S00824
8901000000000000066,SPARE,S01173
8901000000000000067,RETIRED,S00727
8901000000000000068,SPARE,S01645
8901000000000000069,ACTIVE,S00765
8901000000000000070,SPARE,S01689
8901000000000000071,SPARE,S01915
8901000000000000072,RETIRED,S01760
8901000000000000073,ACTIVE,S00332
8901000000000000074,SPARE,S01983
8901000000000000075,RETIRED,S00944
8901000000000000076,RETIRED,S00090
8901000000000000077,SPARE,S01929
8901000000000000078,RETIRED,S01153
8901000000000000079,RETIRED,S01512
8901000000000000080,SPARE,S01812
8901000000000000081,ACTIVE,S00823
8901000000000000082,SPARE,S00425
8901000000000000083,RETIRED,S01686
8901000000000000084,RETIRED,S00270
8901000000000000085,RETIRED,S01749
8901000000000000086,ACTIVE,S00918
8901000000000000087,SPARE,S00435
8901000000000000088,RETIRED,S01390
8901000000000000089,RETIRED,S01826
8901000000000000090,RETIRED,S01927
8901000000000000091,SPARE,S00729
8901000000000000092,SPARE,S00401
8901000000000000093,RETIRED,S00584
8901000000000000094,ACTIVE,S00692
8901000000000000095,RETIRED,S01426
8901000000000000096,ACTIVE,S00956
8901000000000000097,ACTIVE,S00223
8901000000000000098,RETIRED,S01875
8901000000000000099,SPARE,S00240
8901000000000000100,ACTIVE,S00319
8901000000000000101,RETIRED,S01616
8901000000000000102,SPARE,S01931
8901000000000000103,SPARE,S01970
8901000000000000104,SPARE,S00737
8901000000000000105,ACTIVE,S00171
8901000000000000106,SPARE,S01739
8901000000000000107,SPARE,S00388
8901000000000000108,SPARE,S00194
8901000000000000109,RETIRED,S00408
8901000000000000110,SPARE,S01839
8901000000000000111,RETIRED,S01275
8901000000000000112,RETIRED,S01275
8901000000000000113,ACTIVE,S01596
8901000000000000114,RETIRED,S01084
8901000000000000115,RETIRED,S00360
8901000000000000116,RETIRED,S00406
8901000000000000117,ACTIVE,S01644
8901000000000000118,RETIRED,S01514
8901000000000000119,SPARE,S01995
8901000000000000120,ACTIVE,S00794
8901000000000000121,ACTIVE,S01409
8901000000000000122,RETIRED,S00787
8901000000000000123,RETIRED,S00322
8901000000000000124,RETIRED,S01677
8901000000000000125,SPARE,S01154
8901000000000000126,RETIRED,S01533
8901000000000000127,SPARE,S01888
8901000000000000128,ACTIVE,S01508
8901000000000000129,ACTIVE,S01945
8901000000000000130,RETIRED,S00597
8901000000000000131,SPARE,S00168
8901000000000000132,ACTIVE,S00033
8901000000000000133,ACTIVE,S00074
8901000000000000134,ACTIVE,S01776
8901000000000000135,ACTIVE,S01206
8901000000000000136,RETIRED,S00591
8901000000000000137,SPARE,S01088
8901000000000000138,RETIRED,S00540
8901000000000000139,RETIRED,S00443
8901000000000000140,RETIRED,S00426
8901000000000000141,ACTIVE,S00535
8901000000000000142,SPARE,S00280
8901000000000000143,ACTIVE,S00745
8901000000000000144,RETIRED,S00610
8901000000000000145,SPARE,S01963
8901000000000000146,ACTIVE,S01098
8901000000000000147,RETIRED,S00481
8901000000000000148,ACTIVE,S01745
8901000000000000149,ACTIVE,S00092
8901000000000000150,SPARE,S00339
8901000000000000151,RETIRED,S00814
8901000000000000152,RETIRED,S00231
8901000000000000153,SPARE,S01764
8901000000000000154,SPARE,S00057
8901000000000000155,ACTIVE,S00665
8901000000000000156,ACTIVE,S00207
8901000000000000157,ACTIVE,S00671
8901000000000000158,SPARE,S01900
8901000000000000159,ACTIVE,S01956
8901000000000000160,SPARE,S01942
8901000000000000161,RETIRED,S00813
8901000000000000162,ACTIVE,S00422
8901000000000000163,RETIRED,S01031
8901000000000000164,ACTIVE,S00144
8901000000000000165,SPARE,S01371
8901000000000000166,SPARE,S00003
8901000000000000167,RETIRED,S01322
8901000000000000168,SPARE,S01212
8901000000000000169,SPARE,S00292
8901000000000000170,SPARE,S00644
8901000000000000171,RETIRED,S00895
8901000000000000172,SPARE,S00284
8901000000000000173,SPARE,S00046
8901000000000000174,RETIRED,S01183
8901000000000000175,RETIRED,S00715
8901000000000000176,SPARE,S01309
8901000000000000177,ACTIVE,S00789
8901000000000000178,ACTIVE,S00063
8901000000000000179,RETIRED,S01877
8901000000000000180,ACTIVE,S00469
8901000000000000181,ACTIVE,S01907
8901000000000000182,ACTIVE,S00986
8901000000000000183,RETIRED,S00438
8901000000000000184,RETIRED,S00192
8901000000000000185,RETIRED,S00405
8901000000000000186,RETIRED,S00981
8901000000000000187,RETIRED,S00582
8901000000000000188,RETIRED,S00571
8901000000000000189,RETIRED,S00208
8901000000000000190,RETIRED,S00435
8901000000000000191,ACTIVE,S01647
8901000000000000192,SPARE,S00754
8901000000000000193,SPARE,S01128
8901000000000000194,SPARE,S00191
8901000000000000195,SPARE,S01248
8901000000000000196,SPARE,S00416
8901000000000000197,ACTIVE,S01493
8901000000000000198,RETIRED,S00318
8901000000000000199,SPARE,S00789
8901000000000000200,RETIRED,S01604
8901000000000000201,RETIRED,S00668
8901000000000000202,SPARE,S01709
8901000000000000203,ACTIVE,S00827
8901000000000000204,ACTIVE,S01911
8901000000000000205,SPARE,S01184
8901000000000000206,SPARE,S01067
8901000000000000207,SPARE,S00624
8901000000000000208,SPARE,S00045
8901000000000000209,RETIRED,S00064
8901000000000000210,ACTIVE,S01463
8901000000000000211,SPARE,S00827
8901000000000000212,RETIRED,S01349
8901000000000000213,RETIRED,S01222
8901000000000000214,ACTIVE,S01654
8901000000000000215,SPARE,S01471
8901000000000000216,RETIRED,S00965
8901000000000000217,SPARE,S00387
8901000000000000218,ACTIVE,S00541
8901000000000000219,SPARE,S01717
8901000000000000220,ACTIVE,S01159
8901000000000000221,ACTIVE,S00645
