subscription_id,corrected_status,correction_date
S00062,CANCELLED,2025-03-03
S01683,ACTIVE,2025-01-04
S00572,ACTIVE,2025-02-10
S00155,CANCELLED,2025-03-26
S01800,ACTIVE,2025-01-26
S01896,CANCELLED,2025-04-25
S01318,CANCELLED,2025-03-06
S00828,ACTIVE,2025-02-02
S00172,CANCELLED,2025-04-19
S00484,CANCELLED,2025-04-18
S01929,ACTIVE,2025-02-21
S01509,CANCELLED,2025-04-13
S01245,CANCELLED,2025-04-02
S00911,CANCELLED,2025-04-17
S01355,CANCELLED,2025-03-19
S01599,CANCELLED,2025-03-16
S00524,CANCELLED,2025-04-27
S01961,CANCELLED,2025-03-03
S00248,CANCELLED,2025-04-17
S00012,ACTIVE,2025-02-11
S01226,ACTIVE,2025-02-15
S00846,ACTIVE,2025-03-13
S01448,CANCELLED,2025-04-21
S00815,CANCELLED,2025-04-27
S01372,ACTIVE,2025-03-26
S00768,ACTIVE,2025-03-15
S01381,CANCELLED,2025-04-14
S01142,CANCELLED,2025-04-28
S01386,CANCELLED,2025-04-02
S00723,ACTIVE,2025-01-14
S01303,CANCELLED,2025-04-24
S01815,CANCELLED,2025-04-06
S00196,ACTIVE,2025-04-05
S00989,ACTIVE,2025-01-28
S01277,CANCELLED,2025-04-22
S01835,CANCELLED,2025-03-13
S01949,CANCELLED,2025-03-11
S01571,CANCELLED,2025-03-01
S01126,CANCELLED,2025-04-24
S01860,CANCELLED,2025-04-25
S01669,CANCELLED,2025-03-03
S01187,ACTIVE,2025-03-27
S01964,ACTIVE,2025-03-08
S01042,CANCELLED,2025-04-07
S01006,CANCELLED,2025-04-08
S01337,CANCELLED,2025-04-14
S01777,ACTIVE,2025-02-24
S00330,CANCELLED,2025-03-07
S01150,CANCELLED,2025-04-23
S01118,CANCELLED,2025-03-11
S01620,ACTIVE,2025-02-07
S01954,CANCELLED,2025-04-09
S01904,ACTIVE,2025-03-28
S01711,ACTIVE,2025-02-21
S00143,CANCELLED,2025-03-05
S00626,ACTIVE,2025-03-08
S00758,CANCELLED,2025-03-25
S01499,ACTIVE,2025-01-01
S01052,CANCELLED,2025-04-11
S01398,CANCELLED,2025-04-01
S00946,CANCELLED,2025-03-30
S01602,CANCELLED,2025-04-22
S00120,ACTIVE,2025-01-14
S01490,CANCELLED,2025-04-09
S01101,CANCELLED,2025-04-12
S01177,ACTIVE,2025-01-06
S01382,ACTIVE,2025-01-19
S00509,CANCELLED,2025-03-10
S00732,CANCELLED,2025-04-13
S01987,CANCELLED,2025-04-08
S01079,CANCELLED,2025-04-14
S01559,ACTIVE,2025-01-26
S00026,ACTIVE,2025-02-19
S01708,CANCELLED,2025-03-27
S00420,CANCELLED,2025-04-15
S00973,CANCELLED,2025-04-09
S00615,CANCELLED,2025-04-04
S01489,CANCELLED,2025-04-26
S00340,ACTIVE,2025-01-19
S00568,CANCELLED,2025-04-10
S00435,CANCELLED,2025-04-14
S01037,ACTIVE,2025-02-24
S00494,CANCELLED,2025-04-21
S01360,ACTIVE,2025-02-15
S01269,CANCELLED,2025-04-17
S00689,CANCELLED,2025-04-10
S01122,ACTIVE,2025-03-10
S00904,CANCELLED,2025-04-13
S00401,CANCELLED,2025-04-13
S01464,CANCELLED,2025-04-12
S01361,CANCELLED,2025-03-22
S00979,CANCELLED,2025-03-25
S01745,CANCELLED,2025-04-05
S00501,CANCELLED,2025-03-26
S01787,CANCELLED,2025-04-12
S00599,CANCELLED,2025-04-27
S00558,CANCELLED,2025-03-18
S01502,CANCELLED,2025-04-24
S01406,ACTIVE,2025-03-10
S01698,ACTIVE,2025-02-06
S00224,ACTIVE,2025-03-14
S00139,CANCELLED,2025-03-13
S00860,CANCELLED,2025-04-20
S01125,ACTIVE,2025-04-15
S00466,CANCELLED,2025-04-08
S00733,ACTIVE,2025-02-13
S00908,CANCELLED,2025-04-21
S01851,CANCELLED,2025-04-26
S01465,CANCELLED,2025-04-14
S01780,CANCELLED,2025-04-01
S01155,CANCELLED,2025-04-06
S00124,ACTIVE,2025-02-24
S01291,CANCELLED,2025-03-15
S00661,CANCELLED,2025-04-21
S01427,CANCELLED,2025-04-04
S00271,ACTIVE,2025-01-18
S00154,ACTIVE,2025-01-07
S01092,CANCELLED,2025-04-16
S01435,CANCELLED,2025-04-26
S01794,CANCELLED,2025-04-17
S00369,CANCELLED,2025-03-10
S00961,ACTIVE,2025-03-04
S00514,CANCELLED,2025-04-12
S01463,ACTIVE,2025-01-15
S01807,ACTIVE,2025-04-13
S00350,CANCELLED,2025-03-01
S00373,ACTIVE,2025-02-09
S00844,ACTIVE,2025-02-20
S01411,CANCELLED,2025-04-05
S00357,CANCELLED,2025-04-21
S01561,CANCELLED,2025-04-09
S00423,CANCELLED,2025-04-07
S01746,CANCELLED,2025-04-07
S01958,CANCELLED,2025-04-09
S00542,CANCELLED,2025-03-19
S01659,ACTIVE,2025-01-05
S00343,ACTIVE,2025-02-17
S01377,CANCELLED,2025-04-21
S01692,CANCELLED,2025-03-05
S01586,ACTIVE,2025-03-08
S00593,ACTIVE,2025-02-17
S01454,CANCELLED,2025-04-21
S01573,CANCELLED,2025-04-02
S01734,CANCELLED,2025-04-24
S00677,CANCELLED,2025-04-20
S00825,CANCELLED,2025-03-01
S01570,CANCELLED,2025-04-06
S00058,CANCELLED,2025-04-22
S00969,CANCELLED,2025-03-03
S00429,CANCELLED,2025-03-21
S00149,CANCELLED,2025-04-27
S00705,ACTIVE,2025-01-18
S00767,CANCELLED,2025-04-19
S01728,ACTIVE,2025-02-15
S01714,CANCELLED,2025-04-01
S01869,ACTIVE,2025-03-10
S00632,CANCELLED,2025-04-23
S01319,CANCELLED,2025-04-05
S01569,CANCELLED,2025-04-19
S01776,CANCELLED,2025-04-17
S00202,ACTIVE,2025-02-21
S00450,CANCELLED,2025-04-10
S01897,CANCELLED,2025-04-14
S00011,CANCELLED,2025-04-06
S01450,CANCELLED,2025-03-23
S01933,CANCELLED,2025-04-01
S01827,ACTIVE,2025-04-04
S01388,ACTIVE,2025-03-12
S00247,CANCELLED,2025-04-06
S00869,CANCELLED,2025-04-11
S00753,CANCELLED,2025-03-29
S00965,CANCELLED,2025-04-25
S00679,ACTIVE,2025-02-18
S00591,CANCELLED,2025-03-02
S00164,CANCELLED,2025-04-22
S01629,ACTIVE,2025-02-10
S00140,ACTIVE,2025-04-05
S01818,ACTIVE,2025-01-14
S01280,ACTIVE,2025-01-20
S00845,CANCELLED,2025-03-19
S00474,ACTIVE,2025-03-22
S00609,CANCELLED,2025-03-27
S00763,CANCELLED,2025-04-19
S00638,ACTIVE,2025-03-13
S00186,CANCELLED,2025-03-26
S01441,CANCELLED,2025-03-19
S01317,CANCELLED,2025-04-12
S01068,ACTIVE,2025-03-20
S01179,ACTIVE,2025-03-14
S00331,CANCELLED,2025-04-23
S01915,CANCELLED,2025-04-05
S01159,CANCELLED,2025-04-27
S00673,CANCELLED,2025-04-13
S01894,CANCELLED,2025-04-01
S01992,ACTIVE,2025-03-24
S01397,ACTIVE,2025-02-11
S01506,ACTIVE,2025-01-09
S01812,CANCELLED,2025-04-17
S01627,ACTIVE,2025-01-04
S00895,ACTIVE,2025-03-18
S01294,CANCELLED,2025-04-01
S00931,ACTIVE,2025-03-26
S01872,ACTIVE,2025-04-11
S01347,CANCELLED,2025-04-14
S01423,CANCELLED,2025-04-15
S01790,ACTIVE,2025-02-09
S00361,CANCELLED,2025-03-19
S00740,CANCELLED,2025-04-20
S01829,CANCELLED,2025-04-28
S00245,CANCELLED,2025-03-28
S00521,ACTIVE,2025-01-27
S01584,ACTIVE,2025-03-09
S01217,ACTIVE,2025-03-11
S01183,ACTIVE,2025-01-22
S00862,ACTIVE,2025-03-27
S00549,CANCELLED,2025-03-18
S01062,CANCELLED,2025-03-18
S01912,ACTIVE,2025-02-19
S01032,CANCELLED,2025-03-17
S00633,ACTIVE,2025-04-10
S00388,CANCELLED,2025-04-28
S01672,CANCELLED,2025-04-21
S01959,CANCELLED,2025-04-15
S01540,ACTIVE,2025-03-17
S01855,CANCELLED,2025-04-15
S01528,ACTIVE,2025-04-17
S00129,CANCELLED,2025-03-16
S01223,CANCELLED,2025-03-02
S00452,CANCELLED,2025-04-20
S00577,CANCELLED,2025-03-13
S00141,CANCELLED,2025-04-20
S01429,CANCELLED,2025-03-20
S00534,CANCELLED,2025-04-25
S01181,ACTIVE,2025-01-23
S01139,ACTIVE,2025-03-11
S00269,CANCELLED,2025-04-19
S00499,CANCELLED,2025-04-02
S00065,ACTIVE,2025-01-19
S00820,CANCELLED,2025-03-23
S00569,ACTIVE,2025-01-10
S01389,CANCELLED,2025-03-29
S01840,ACTIVE,2025-02-10
S01236,ACTIVE,2025-03-25
S00963,CANCELLED,2025-03-14
S01597,CANCELLED,2025-04-21
S01556,ACTIVE,2025-04-16
S00540,CANCELLED,2025-04-03
S01750,CANCELLED,2025-04-05
S01580,ACTIVE,2025-02-05
S00722,CANCELLED,2025-04-02
S00517,CANCELLED,2025-04-27
S00131,ACTIVE,2025-04-15
S00711,CANCELLED,2025-03-04
S01342,ACTIVE,2025-02-05
S01614,CANCELLED,2025-04-11
S01541,CANCELLED,2025-03-18
S00649,ACTIVE,2025-02-12
S01112,ACTIVE,2025-04-01
S01848,ACTIVE,2025-02-20
S01564,CANCELLED,2025-04-02
