subscription_id,customer_id,plan_id,status,cycle_start,cycle_end
S00001,C01001,P2,ACTIVE,2025-03-01,2025-03-31
S00002,C01002,P2,ACTIVE,2025-03-01,2025-03-31
S00003,C01003,P1,ACTIVE,2025-03-01,2025-03-31
S00004,C01004,P2,ACTIVE,2025-03-01,2025-03-31
S00005,C01005,P1,ACTIVE,2025-03-01,2025-03-31
S00006,C01006,P2,CANCELLED,2025-03-01,2025-03-31
S00007,C01007,P1,ACTIVE,2025-03-01,2025-03-31
S00008,C01008,P1,ACTIVE,2025-03-01,2025-03-31
S00009,C01009,P3,ACTIVE,2025-03-01,2025-03-31
S00010,C01010,P1,ACTIVE,2025-03-01,2025-03-31
S00011,C01011,P2,ACTIVE,2025-03-01,2025-03-31
S00012,C01012,P2,SUSPENDED,2025-03-01,2025-03-31
S00013,C01013,P1,ACTIVE,2025-03-01,2025-03-31
S00014,C01014,P1,ACTIVE,2025-03-01,2025-03-31
S00015,C01015,P1,ACTIVE,2025-03-01,2025-03-31
S00016,C01016,P4,ACTIVE,2025-03-01,2025-03-31
S00017,C01017,P3,ACTIVE,2025-03-01,2025-03-31
S00018,C01018,P3,ACTIVE,2025-03-01,2025-03-31
S00019,C01019,P1,ACTIVE,2025-03-01,2025-03-31
S00020,C01020,P3,ACTIVE,2025-03-01,2025-03-31
S00021,C01021,P4,ACTIVE,2025-03-01,2025-03-31
S00022,C01022,P1,ACTIVE,2025-03-01,2025-03-31
S00023,C01023,P1,ACTIVE,2025-03-01,2025-03-31
S00024,C01024,P1,ACTIVE,2025-03-01,2025-03-31
S00025,C01025,P2,ACTIVE,2025-03-01,2025-03-31
S00026,C01026,P1,CANCELLED,2025-03-01,2025-03-31
S00027,C01027,P2,ACTIVE,2025-03-01,2025-03-31
S00028,C01028,P3,ACTIVE,2025-03-01,2025-03-31
S00029,C01029,P3,ACTIVE,2025-03-01,2025-03-31
S00030,C01030,P1,ACTIVE,2025-03-01,2025-03-31
S00031,C01031,P1,ACTIVE,2025-03-01,2025-03-31
S00032,C01032,P1,ACTIVE,2025-03-01,2025-03-31
S00033,C01033,P2,ACTIVE,2025-03-01,2025-03-31
S00034,C01034,P2,ACTIVE,2025-03-01,2025-03-31
S00035,C01035,P1,SUSPENDED,2025-03-01,2025-03-31
S00036,C01036,P4,ACTIVE,2025-03-01,2025-03-31
S00037,C01037,P1,ACTIVE,2025-03-01,2025-03-31
S00038,C01038,P2,ACTIVE,2025-03-01,2025-03-31
S00039,C01039,P1,ACTIVE,2025-03-01,2025-03-31
S00040,C01040,P1,CANCELLED,2025-03-01,2025-03-31
S00041,C01041,P4,ACTIVE,2025-03-01,2025-03-31
S00042,C01042,P1,SUSPENDED,2025-03-01,2025-03-31
S00043,C01043,P3,ACTIVE,2025-03-01,2025-03-31
S00044,C01044,P2,SUSPENDED,2025-03-01,2025-03-31
S00045,C01045,P1,ACTIVE,2025-03-01,2025-03-31
S00046,C01046,P2,ACTIVE,2025-03-01,2025-03-31
S00047,C01047,P1,ACTIVE,2025-03-01,2025-03-31
S00048,C01048,P1,ACTIVE,2025-03-01,2025-03-31
S00049,C01049,P2,ACTIVE,2025-03-01,2025-03-31
S00050,C01050,P1,ACTIVE,2025-03-01,2025-03-31
S00051,C01051,P3,ACTIVE,2025-03-01,2025-03-31
S00052,C01052,P3,ACTIVE,2025-03-01,2025-03-31
S00053,C01053,P1,ACTIVE,2025-03-01,2025-03-31
S00054,C01054,P2,ACTIVE,2025-03-01,2025-03-31
S00055,C01055,P2,ACTIVE,2025-03-01,2025-03-31
S00056,C01056,P2,ACTIVE,2025-03-01,2025-03-31
S00057,C01057,P2,ACTIVE,2025-03-01,2025-03-31
S00058,C01058,P1,ACTIVE,2025-03-01,2025-03-31
S00059,C01059,P1,SUSPENDED,2025-03-01,2025-03-31
S00060,C01060,P1,ACTIVE,2025-03-01,2025-03-31
S00061,C01061,P1,ACTIVE,2025-03-01,2025-03-31
S00062,C01062,P3,ACTIVE,2025-03-01,2025-03-31
S00063,C01063,P1,ACTIVE,2025-03-01,2025-03-31
S00064,C01064,P1,ACTIVE,2025-03-01,2025-03-31
S00065,C01065,P2,CANCELLED,2025-03-01,2025-03-31
S00066,C01066,P2,ACTIVE,2025-03-01,2025-03-31
S00067,C01067,P1,ACTIVE,2025-03-01,2025-03-31
S00068,C01068,P1,ACTIVE,2025-03-01,2025-03-31
