subscription_id,snapshot_date,status,plan_id
S00346,2025-01-19,CANCELLED,P4
S00252,2025-02-10,ACTIVE,P1
S00147,2025-02-25,CANCELLED,P1
S00118,2025-01-28,CANCELLED,P1
S00035,2025-01-19,ACTIVE,P3
S00640,2025-01-11,SUSPENDED,P1
S01507,2025-02-28,CANCELLED,P4
S00646,2025-01-19,SUSPENDED,P3
S00286,2025-01-09,CANCELLED,P4
S01025,2025-02-11,ACTIVE,P3
S01804,2025-01-21,SUSPENDED,P2
S00964,2025-01-23,SUSPENDED,P1
S00675,2025-01-08,ACTIVE,P3
S01899,2025-01-19,CANCELLED,P1
S01965,2025-01-20,CANCELLED,P2
S01347,2025-02-06,SUSPENDED,P3
S01069,2025-02-18,ACTIVE,P2
S00213,2025-02-12,SUSPENDED,P3
S00974,2025-01-08,CANCELLED,P4
S01530,2025-01-13,ACTIVE,P2
S01208,2025-02-13,ACTIVE,P2
S00284,2025-02-04,CANCELLED,P3
S00766,2025-02-16,SUSPENDED,P1
S00647,2025-02-20,SUSPENDED,P2
S01308,2025-02-08,ACTIVE,P1
S00707,2025-02-22,SUSPENDED,P4
S01018,2025-02-08,CANCELLED,P1
S01510,2025-02-08,CANCELLED,P3
S00060,2025-02-11,SUSPENDED,P4
S00496,2025-02-10,CANCELLED,P2
S01269,2025-02-05,CANCELLED,P4
S00745,2025-01-04,ACTIVE,P4
S00879,2025-02-03,SUSPENDED,P3
S01836,2025-01-24,SUSPENDED,P1
S00985,2025-02-18,SUSPENDED,P4
S01900,2025-01-19,SUSPENDED,P4
S01751,2025-02-08,CANCELLED,P2
S01827,2025-01-28,ACTIVE,P1
S01677,2025-01-28,ACTIVE,P1
S01616,2025-02-28,SUSPENDED,P3
S01574,2025-02-17,ACTIVE,P4
S00543,2025-01-04,SUSPENDED,P2
S01388,2025-01-28,SUSPENDED,P3
S00271,2025-01-01,SUSPENDED,P4
S01516,2025-02-11,ACTIVE,P1
S00593,2025-02-23,SUSPENDED,P4
S01190,2025-01-27,ACTIVE,P4
S01590,2025-01-16,ACTIVE,P1
S00909,2025-01-01,SUSPENDED,P2
S01139,2025-02-15,CANCELLED,P1
S01780,2025-01-11,SUSPENDED,P2
S00368,2025-01-12,ACTIVE,P4
S01912,2025-01-19,CANCELLED,P2
S00572,2025-02-23,SUSPENDED,P1
S01995,2025-01-11,ACTIVE,P3
S00936,2025-01-22,CANCELLED,P3
S00681,2025-02-06,SUSPENDED,P3
S01417,2025-01-27,ACTIVE,P1
S00807,2025-02-04,SUSPENDED,P4
S01034,2025-01-11,SUSPENDED,P4
S01113,2025-02-11,ACTIVE,P1
S00063,2025-01-18,SUSPENDED,P3
S01276,2025-01-16,CANCELLED,P3
S00996,2025-01-08,SUSPENDED,P4
S01030,2025-02-15,CANCELLED,P4
S00424,2025-02-25,SUSPENDED,P1
S00733,2025-01-20,SUSPENDED,P2
S00716,2025-02-22,CANCELLED,P3
S00799,2025-01-12,SUSPENDED,P2
S01253,2025-02-23,CANCELLED,P1
S01784,2025-02-14,SUSPENDED,P4
S01449,2025-02-07,SUSPENDED,P4
S01313,2025-02-13,ACTIVE,P1
S00819,2025-02-22,ACTIVE,P1
S00903,2025-01-22,ACTIVE,P2
S01646,2025-01-23,ACTIVE,P3
S00119,2025-01-11,ACTIVE,P4
S01029,2025-02-13,CANCELLED,P4
S00196,2025-02-20,ACTIVE,P1
S01148,2025-01-08,SUSPENDED,P4
S01147,2025-01-15,CANCELLED,P2
S01714,2025-01-22,SUSPENDED,P4
S01011,2025-01-16,SUSPENDED,P2
S00461,2025-02-05,CANCELLED,P1
S00831,2025-02-05,ACTIVE,P4
S00269,2025-02-25,ACTIVE,P2
S01049,2025-02-18,ACTIVE,P1
S01466,2025-01-09,ACTIVE,P1
S01743,2025-02-08,ACTIVE,P3
S00316,2025-01-24,CANCELLED,P3
S01159,2025-02-04,CANCELLED,P4
S01914,2025-02-05,SUSPENDED,P3
S01656,2025-02-11,ACTIVE,P1
S01142,2025-02-07,SUSPENDED,P4
S00663,2025-01-13,SUSPENDED,P1
S01482,2025-01-18,CANCELLED,P3
S00797,2025-01-14,CANCELLED,P4
S01021,2025-01-28,CANCELLED,P3
S00047,2025-02-02,ACTIVE,P4
S01353,2025-01-22,CANCELLED,P1
S00578,2025-01-13,SUSPENDED,P2
S00368,2025-01-13,ACTIVE,P4
S01655,2025-02-17,CANCELLED,P1
S01325,2025-02-13,SUSPENDED,P1
S01435,2025-01-01,SUSPENDED,P1
S00665,2025-02-21,ACTIVE,P4
S01382,2025-02-11,CANCELLED,P4
S01077,2025-01-10,ACTIVE,P4
S00224,2025-02-16,ACTIVE,P4
S01575,2025-02-17,SUSPENDED,P4
S01265,2025-01-08,SUSPENDED,P2
S01503,2025-01-23,SUSPENDED,P4
S00332,2025-02-11,ACTIVE,P4
S01367,2025-01-10,CANCELLED,P4
S00010,2025-01-09,CANCELLED,P3
S00329,2025-02-03,CANCELLED,P2
S01783,2025-01-12,ACTIVE,P2
S00156,2025-02-10,CANCELLED,P1
S01858,2025-01-03,SUSPENDED,P3
S00593,2025-02-07,CANCELLED,P3
S01066,2025-02-25,SUSPENDED,P2
S01385,2025-01-14,SUSPENDED,P4
S00544,2025-01-02,ACTIVE,P4
S01197,2025-01-05,SUSPENDED,P4
S00920,2025-01-24,ACTIVE,P4
S00420,2025-02-17,SUSPENDED,P2
S00282,2025-02-10,SUSPENDED,P1
S01656,2025-01-19,CANCELLED,P1
S00525,2025-02-16,CANCELLED,P2
S00728,2025-01-28,ACTIVE,P1
S01721,2025-02-11,SUSPENDED,P4
S01217,2025-02-01,SUSPENDED,P1
S00453,2025-01-28,SUSPENDED,P4
S00368,2025-01-09,ACTIVE,P1
S01378,2025-02-24,CANCELLED,P4
S00173,2025-02-22,CANCELLED,P2
S01899,2025-01-05,SUSPENDED,P4
S00678,2025-02-16,CANCELLED,P4
S00404,2025-01-27,ACTIVE,P1
S01206,2025-02-08,SUSPENDED,P1
S01340,2025-02-13,CANCELLED,P1
S00149,2025-02-19,SUSPENDED,P3
S00904,2025-02-06,CANCELLED,P1
S00827,2025-01-14,CANCELLED,P3
S00826,2025-01-23,SUSPENDED,P2
S01020,2025-02-26,SUSPENDED,P3
S01657,2025-01-06,SUSPENDED,P2
S00892,2025-02-18,CANCELLED,P4
S01356,2025-01-25,SUSPENDED,P2
S01457,2025-01-23,SUSPENDED,P1
S00686,2025-02-24,SUSPENDED,P4
S01727,2025-01-12,CANCELLED,P3
S01452,2025-02-17,ACTIVE,P1
S01276,2025-01-01,ACTIVE,P2
S00404,2025-02-27,ACTIVE,P4
S01794,2025-01-07,SUSPENDED,P3
S01833,2025-01-25,CANCELLED,P1
S00354,2025-02-09,ACTIVE,P2
S00177,2025-02-03,CANCELLED,P1
S00901,2025-02-07,SUSPENDED,P1
S01221,2025-01-20,SUSPENDED,P4
S00923,2025-02-20,CANCELLED,P4
S00145,2025-01-21,CANCELLED,P4
S01731,2025-01-10,ACTIVE,P3
S00931,2025-01-10,ACTIVE,P1
S01813,2025-02-05,SUSPENDED,P3
S01192,2025-01-17,ACTIVE,P1
S01332,2025-02-28,SUSPENDED,P2
S00913,2025-01-28,CANCELLED,P4
S00285,2025-01-27,CANCELLED,P2
S00217,2025-02-08,ACTIVE,P1
S01247,2025-02-09,SUSPENDED,P3
S01019,2025-01-06,SUSPENDED,P2
S01571,2025-01-24,SUSPENDED,P3
S01582,2025-02-10,ACTIVE,P1
S01123,2025-01-16,ACTIVE,P3
S00696,2025-01-22,SUSPENDED,P2
S00206,2025-01-14,CANCELLED,P4
S00536,2025-01-24,ACTIVE,P2
S01768,2025-01-09,ACTIVE,P3
S01560,2025-02-12,SUSPENDED,P3
S01228,2025-01-15,CANCELLED,P2
S01852,2025-02-08,ACTIVE,P4
S00086,2025-02-14,ACTIVE,P3
S01152,2025-02-12,ACTIVE,P3
S01769,2025-01-18,CANCELLED,P1
S00012,2025-02-20,SUSPENDED,P4
S01441,2025-01-11,SUSPENDED,P2
S00190,2025-02-18,CANCELLED,P2
S00668,2025-01-10,ACTIVE,P4
S00143,2025-02-10,CANCELLED,P4
S01388,2025-01-19,ACTIVE,P3
S01036,2025-02-01,CANCELLED,P2
S00963,2025-02-13,SUSPENDED,P3
S01030,2025-02-20,ACTIVE,P2
S00495,2025-01-26,SUSPENDED,P2
S01732,2025-01-17,SUSPENDED,P1
S01944,2025-02-16,ACTIVE,P3
S01708,2025-01-16,SUSPENDED,P2
S00975,2025-01-17,ACTIVE,P4
S00469,2025-01-06,CANCELLED,P1
S01903,2025-01-12,CANCELLED,P1
S01654,2025-02-15,SUSPENDED,P2
S00670,2025-02-05,CANCELLED,P1
S00223,2025-01-27,SUSPENDED,P3
S00403,2025-02-21,CANCELLED,P4
S00305,2025-01-05,SUSPENDED,P3
S00245,2025-02-15,SUSPENDED,P4
S00722,2025-01-18,ACTIVE,P1
S00082,2025-02-12,SUSPENDED,P2
S01047,2025-01-08,CANCELLED,P2
S01289,2025-02-02,CANCELLED,P4
S00815,2025-02-18,CANCELLED,P1
S00383,2025-01-25,CANCELLED,P2
S00057,2025-02-28,SUSPENDED,P2
S01652,2025-02-03,SUSPENDED,P4
S01404,2025-02-23,CANCELLED,P1
S01563,2025-01-26,ACTIVE,P4
S01447,2025-02-22,SUSPENDED,P4
S00670,2025-02-27,CANCELLED,P2
S01862,2025-02-19,CANCELLED,P3
S01855,2025-02-10,CANCELLED,P4
S00217,2025-01-28,ACTIVE,P2
S01617,2025-01-19,ACTIVE,P2
S01777,2025-01-04,SUSPENDED,P4
S00912,2025-01-16,SUSPENDED,P2
S00671,2025-02-15,CANCELLED,P3
S00392,2025-01-14,ACTIVE,P3
S01607,2025-02-24,ACTIVE,P4
S01030,2025-01-13,CANCELLED,P3
S01165,2025-02-28,SUSPENDED,P4
S00912,2025-02-13,CANCELLED,P2
S00336,2025-02-04,SUSPENDED,P3
S01356,2025-02-22,ACTIVE,P1
S00315,2025-02-05,SUSPENDED,P3
S00817,2025-02-17,CANCELLED,P4
S01201,2025-02-01,CANCELLED,P4
S01187,2025-02-07,CANCELLED,P1
S00700,2025-02-28,SUSPENDED,P2
S00201,2025-01-28,SUSPENDED,P3
S00111,2025-01-15,SUSPENDED,P3
S01065,2025-02-18,SUSPENDED,P4
S00497,2025-02-23,ACTIVE,P3
S00769,2025-01-12,ACTIVE,P3
S00357,2025-02-23,SUSPENDED,P1
S01117,2025-02-23,ACTIVE,P4
S01716,2025-01-24,CANCELLED,P4
S01599,2025-01-04,ACTIVE,P3
S00009,2025-01-27,ACTIVE,P4
S01715,2025-01-01,ACTIVE,P2
S01005,2025-02-19,SUSPENDED,P4
S00469,2025-02-04,CANCELLED,P3
S01382,2025-01-11,CANCELLED,P4
S00967,2025-01-03,SUSPENDED,P1
S00414,2025-01-06,CANCELLED,P4
S00534,2025-01-20,SUSPENDED,P3
S00421,2025-02-22,SUSPENDED,P4
S01871,2025-01-24,SUSPENDED,P3
S01350,2025-01-17,SUSPENDED,P1
S01531,2025-02-15,CANCELLED,P2
S00599,2025-01-12,ACTIVE,P3
S00376,2025-02-27,ACTIVE,P2
S00523,2025-02-09,ACTIVE,P4
S01477,2025-01-22,SUSPENDED,P4
S01790,2025-02-19,CANCELLED,P2
S01951,2025-02-18,SUSPENDED,P4
S00570,2025-02-26,CANCELLED,P2
S01728,2025-01-12,SUSPENDED,P1
S00182,2025-02-10,CANCELLED,P4
S00282,2025-01-22,ACTIVE,P3
S00149,2025-02-16,ACTIVE,P4
S00053,2025-02-14,CANCELLED,P4
S00665,2025-01-05,SUSPENDED,P4
S01644,2025-02-03,CANCELLED,P2
S00824,2025-01-24,CANCELLED,P3
S00941,2025-01-16,CANCELLED,P1
S01194,2025-02-26,CANCELLED,P2
S01608,2025-01-26,SUSPENDED,P1
S00479,2025-01-10,SUSPENDED,P1
S00791,2025-01-01,SUSPENDED,P2
S01565,2025-02-07,ACTIVE,P2
S00172,2025-01-15,SUSPENDED,P3
S00861,2025-02-10,CANCELLED,P4
S00258,2025-02-20,SUSPENDED,P2
S00954,2025-01-21,ACTIVE,P3
S01096,2025-02-05,CANCELLED,P1
S01080,2025-01-01,ACTIVE,P4
S00766,2025-01-17,SUSPENDED,P3
S01272,2025-01-18,SUSPENDED,P2
S01672,2025-01-10,CANCELLED,P2
S01836,2025-02-18,SUSPENDED,P2
S00645,2025-01-15,ACTIVE,P2
S00021,2025-01-25,CANCELLED,P4
S00498,2025-01-20,ACTIVE,P4
S01191,2025-01-28,ACTIVE,P3
S01918,2025-01-09,ACTIVE,P3
S00009,2025-01-24,ACTIVE,P2
S00151,2025-01-06,ACTIVE,P4
