tower_id,subscription_id,rsrp_dbm,ts
T0427,S01458,-104,2025-03-19T01:50:00Z
T0030,S00586,-60,2025-03-11T09:51:00Z
T0320,S01854,-69,2025-03-24T06:45:00Z
T0042,S00586,-71,2025-03-25T13:16:00Z
T0294,S01084,-87,2025-03-18T16:41:00Z
T0155,S01499,-117,2025-03-23T13:07:00Z
T0318,S00590,-83,2025-03-03T09:10:00Z
T0042,S01019,-102,2025-03-03T00:51:00Z
T0317,S00443,-64,2025-03-03T16:43:00Z
T0301,S01714,-70,2025-03-18T22:51:00Z
T0234,S01847,-88,2025-03-20T22:24:00Z
T0020,S00518,-117,2025-03-13T03:16:00Z
T0433,S01724,-104,2025-03-24T12:22:00Z
T0168,S01155,-68,2025-03-02T02:29:00Z
T0309,S00835,-95,2025-03-27T08:01:00Z
T0433,S01865,-84,2025-03-13T03:43:00Z
T0375,S00453,-107,2025-03-03T05:43:00Z
T0290,S00882,-118,2025-03-09T06:11:00Z
T0231,S00798,-95,2025-03-06T08:04:00Z
T0425,S01521,-88,2025-03-22T12:17:00Z
T0252,S01699,-75,2025-03-27T08:23:00Z
T0294,S00409,-66,2025-03-06T09:41:00Z
T0310,S00395,-90,2025-03-12T17:35:00Z
T0438,S00288,-82,2025-03-21T11:22:00Z
T0372,S00266,-73,2025-03-28T01:24:00Z
T0154,S01680,-109,2025-03-14T03:53:00Z
T0284,S01870,-103,2025-03-17T02:00:00Z
T0137,S00379,-115,2025-03-05T04:08:00Z
T0021,S01635,-119,2025-03-02T07:20:00Z
T0075,S00533,-73,2025-03-12T15:52:00Z
T0272,S01205,-68,2025-03-08T12:32:00Z
T0030,S01596,-93,2025-03-10T08:51:00Z
T0217,S00047,-68,2025-03-15T23:48:00Z
T0027,S00592,-76,2025-03-23T20:20:00Z
T0444,S00050,-105,2025-03-06T05:48:00Z
T0128,S01201,-91,2025-03-28T10:09:00Z
T0319,S01402,-62,2025-03-26T18:11:00Z
T0387,S00322,-63,2025-03-27T23:41:00Z
T0448,S01520,-108,2025-03-22T21:04:00Z
T0457,S01361,-94,2025-03-15T16:14:00Z
T0256,S01663,-84,2025-03-20T04:46:00Z
T0174,S01788,-78,2025-03-27T13:59:00Z
T0260,S00570,-87,2025-03-08T11:02:00Z
T0282,S00336,-119,2025-03-15T02:25:00Z
T0359,S00119,-103,2025-03-27T18:10:00Z
T0481,S01299,-81,2025-03-27T23:01:00Z
T0309,S01369,-69,2025-03-04T18:23:00Z
T0195,S00520,-108,2025-03-05T21:54:00Z
T0181,S00050,-107,2025-03-04T18:25:00Z
T0087,S01042,-118,2025-03-06T11:36:00Z
T0335,S01426,-82,2025-03-15T15:44:00Z
T0057,S00407,-118,2025-03-28T22:08:00Z
T0187,S00410,-93,2025-03-28T15:49:00Z
T0464,S00595,-107,2025-03-18T21:59:00Z
T0261,S00607,-110,2025-03-17T14:48:00Z
T0240,S01793,-63,2025-03-04T12:34:00Z
T0218,S01022,-97,2025-03-01T03:28:00Z
T0458,S00687,-63,2025-03-04T11:36:00Z
T0101,S01215,-68,2025-03-19T18:43:00Z
T0414,S00500,-68,2025-03-02T12:39:00Z
T0456,S01005,-104,2025-03-21T14:08:00Z
T0177,S00560,-96,2025-03-01T20:30:00Z
T0089,S01125,-60,2025-03-28T07:21:00Z
T0427,S01701,-86,2025-03-19T17:14:00Z
T0085,S01775,-86,2025-03-09T00:53:00Z
T0084,S01309,-96,2025-03-15T20:06:00Z
T0277,S01723,-101,2025-03-17T15:03:00Z
T0274,S00480,-79,2025-03-22T10:23:00Z
T0292,S01982,-96,2025-03-25T17:45:00Z
T0039,S01213,-94,2025-03-16T10:24:00Z
T0102,S01281,-63,2025-03-27T13:58:00Z
T0026,S00857,-115,2025-03-04T04:20:00Z
T0262,S00817,-93,2025-03-28T15:25:00Z
T0162,S01602,-84,2025-03-07T13:30:00Z
T0050,S01884,-65,2025-03-04T09:11:00Z
T0103,S00858,-102,2025-03-06T17:45:00Z
T0453,S01794,-66,2025-03-14T15:10:00Z
T0189,S01114,-114,2025-03-10T02:59:00Z
T0019,S00444,-83,2025-03-15T01:44:00Z
T0110,S00483,-60,2025-03-05T13:16:00Z
T0187,S00997,-76,2025-03-28T22:37:00Z
T0255,S01883,-110,2025-03-04T06:19:00Z
T0230,S01578,-65,2025-03-20T13:35:00Z
T0337,S01446,-119,2025-03-02T19:44:00Z
T0438,S00304,-107,2025-03-22T03:18:00Z
T0278,S00552,-104,2025-03-02T20:57:00Z
T0097,S00578,-78,2025-03-03T20:16:00Z
T0181,S01939,-74,2025-03-07T04:44:00Z
T0199,S01909,-87,2025-03-06T00:56:00Z
T0210,S01565,-116,2025-03-02T01:23:00Z
T0216,S00698,-102,2025-03-08T03:04:00Z
T0433,S01065,-89,2025-03-22T16:43:00Z
T0143,S01274,-100,2025-03-05T13:20:00Z
T0326,S01668,-78,2025-03-10T20:09:00Z
T0057,S01520,-107,2025-03-09T13:59:00Z
T0157,S00726,-88,2025-03-20T11:51:00Z
T0226,S00944,-72,2025-03-19T21:15:00Z
T0018,S01464,-61,2025-03-04T07:39:00Z
T0102,S00891,-63,2025-03-20T22:13:00Z
