subscription_id,session_id,bytes_used,ts
S01452,D0050202,7698214,2025-03-15T15:51:00Z
S00524,D0018421,25833201,2025-03-24T04:28:00Z
S01382,D0047964,27693406,2025-03-26T01:28:00Z
S01701,D0058933,-1,2025-03-02T10:12:00Z
S00830,D0028706,73908744,2025-03-12T18:06:00Z
S01145,D0039522,245896978,2025-03-27T11:06:00Z
S00081,X0000560,20854007,2025-04-02T13:38:00Z
S01233,D0042389,20699464,2025-03-14T15:20:00Z
S01792,D0062099,43036855,2025-03-27T19:47:00Z
S00356,D0012411,7584805,2025-03-15T09:07:00Z
S00415,D0014518,14697057,2025-03-26T23:38:00Z
S01372,D0047689,25751275,2025-03-12T21:29:00Z
S01252,D0043157,20826915,2025-03-07T22:05:00Z
S00984,D0034172,12299320,2025-03-02T17:17:00Z
S01538,D0053149,5586843,2025-03-23T12:29:00Z
S01087,D0037689,49262853,2025-03-06T13:58:00Z
S01638,D0056730,5391263,2025-03-23T23:11:00Z
S01605,D0055380,19369280,2025-03-12T16:47:00Z
S00707,D0024396,103828050,2025-03-23T23:06:00Z
S01961,D0068101,39063901,2025-03-05T05:15:00Z
S01734,D0060043,19126635,2025-03-14T19:32:00Z
S00890,D0030686,78904093,2025-03-12T13:22:00Z
S00695,D0024052,59758577,2025-03-06T02:06:00Z
S01132,D0039089,47958716,2025-03-04T02:27:00Z
S01690,D0058527,25517754,2025-03-06T03:00:00Z
S00766,D0026398,62117557,2025-03-28T13:04:00Z
S01385,D0048123,47363145,2025-03-14T01:50:00Z
S00807,D0027877,9790499,2025-03-13T20:34:00Z
S00137,X0000937,44803293,2025-04-04T14:40:00Z
S01127,D0038948,63169262,2025-03-19T02:51:00Z
S00428,D0015076,73705888,2025-03-18T15:46:00Z
S00593,X0004122,12161498,2025-02-25T06:44:00Z
S01779,D0061580,18579825,2025-03-08T19:46:00Z
S01554,D0053631,16334062,2025-03-11T09:22:00Z
S00558,D0019547,186931823,2025-03-15T03:53:00Z
S00840,D0029113,29617424,2025-03-17T22:29:00Z
S00728,D0025106,27818480,2025-03-11T10:10:00Z
S00166,D0005848,31284688,2025-03-07T15:22:00Z
S01697,D0058830,38031753,2025-03-15T11:02:00Z
S01527,D0052766,37320481,2025-03-10T00:21:00Z
S01322,D0045759,103755749,2025-03-19T22:50:00Z
S00342,D0011888,25118357,2025-03-25T11:31:00Z
S01235,D0042448,5302912,2025-03-02T16:20:00Z
S00110,D0003973,26345637,2025-03-12T11:27:00Z
S01841,D0063763,-1,2025-03-24T23:04:00Z
S00508,D0017806,55082835,2025-03-26T20:00:00Z
S01443,D0049914,40812249,2025-03-20T17:27:00Z
S00803,D0027711,19217735,2025-03-09T00:47:00Z
S01333,D0046174,7389326,2025-03-09T09:40:00Z
S01498,D0051742,12677904,2025-03-17T06:33:00Z
S01598,D0055056,35924093,2025-03-16T07:13:00Z
S01328,D0045937,28914257,2025-03-17T13:51:00Z
S01553,D0053595,86981635,2025-03-27T11:25:00Z
S00837,D0028963,11468552,2025-03-10T03:04:00Z
S00730,X0005065,22580090,2025-04-04T22:34:00Z
S01179,X0008142,37386694,2025-04-05T14:42:00Z
S01986,D0068965,9780024,2025-03-12T05:43:00Z
S00752,D0025978,16840905,2025-03-11T21:38:00Z
S00392,D0013705,14733872,2025-03-28T06:38:00Z
S00186,D0006592,24601494,2025-03-21T19:25:00Z
S00395,D0013807,58059708,2025-03-28T23:16:00Z
S01200,D0041247,57344403,2025-03-28T19:46:00Z
S01003,D0034856,35521936,2025-03-27T11:40:00Z
