subscription_id,session_id,bytes_used,ts
S00920,F0000001,19072737,2025-02-28T13:55:00Z
S00920,F0000002,17830277,2025-02-18T18:05:00Z
S00920,F0000003,82560249,2025-02-13T16:34:00Z
S00920,F0000004,43154555,2025-02-10T21:14:00Z
S00920,F0000005,62666616,2025-02-25T14:44:00Z
S00920,F0000006,12169674,2025-02-27T23:02:00Z
S00920,F0000007,13022713,2025-02-02T04:01:00Z
S00920,F0000008,27717444,2025-02-14T21:03:00Z
S00920,F0000009,4475308,2025-02-19T23:45:00Z
S00920,F0000010,13767099,2025-02-14T10:53:00Z
S00920,F0000011,7932718,2025-02-03T16:58:00Z
S00920,F0000012,41737246,2025-02-28T04:54:00Z
S00920,F0000013,13428434,2025-02-07T21:03:00Z
S01107,F0000014,7234801,2025-02-25T05:25:00Z
S01107,F0000015,40604022,2025-02-10T23:41:00Z
S01107,F0000016,10672864,2025-02-13T19:56:00Z
S01107,F0000017,13226999,2025-02-27T18:37:00Z
S01107,F0000018,5820908,2025-02-08T03:52:00Z
S01107,F0000019,46920117,2025-02-03T02:35:00Z
S01107,F0000020,43187920,2025-02-11T23:40:00Z
S01107,F0000021,55440629,2025-02-25T12:32:00Z
S01107,F0000022,21223551,2025-02-23T01:45:00Z
S01107,F0000023,16328470,2025-02-27T12:02:00Z
S01107,F0000024,125850845,2025-02-19T12:59:00Z
S01107,F0000025,11390889,2025-02-03T04:26:00Z
S01107,F0000026,35740961,2025-02-18T14:55:00Z
S01107,F0000027,40752293,2025-02-01T19:00:00Z
S01107,F0000028,73475212,2025-02-08T21:36:00Z
S01107,F0000029,111341548,2025-02-08T12:55:00Z
S01107,F0000030,28040774,2025-02-21T09:36:00Z
S01107,F0000031,39322370,2025-02-28T01:23:00Z
S01107,F0000032,35151766,2025-02-06T05:37:00Z
S01107,F0000033,49237875,2025-02-25T05:05:00Z
S01107,F0000034,15925140,2025-02-03T20:16:00Z
S01107,F0000035,16220237,2025-02-11T06:51:00Z
S01107,F0000036,28020107,2025-02-05T03:05:00Z
S01107,F0000037,21415153,2025-02-03T10:21:00Z
S01107,F0000038,17253733,2025-02-02T17:01:00Z
S01107,F0000039,19401214,2025-02-05T09:09:00Z
S01107,F0000040,18200492,2025-02-18T22:32:00Z
S01107,F0000041,26237811,2025-02-19T19:06:00Z
S01107,F0000042,24970977,2025-02-14T04:46:00Z
S01107,F0000043,19395614,2025-02-19T12:14:00Z
S01107,F0000044,4866506,2025-02-04T07:52:00Z
S01107,F0000045,42099820,2025-02-20T07:53:00Z
S01107,F0000046,124327331,2025-02-07T14:45:00Z
S01107,F0000047,26406764,2025-02-19T15:43:00Z
S01107,F0000048,31375184,2025-02-05T20:43:00Z
S01107,F0000049,8339823,2025-02-15T15:37:00Z
S01349,F0000050,6675099,2025-02-18T17:00:00Z
S01349,F0000051,10333575,2025-02-25T09:56:00Z
S01349,F0000052,24275521,2025-02-07T10:52:00Z
S01349,F0000053,30925329,2025-02-25T06:49:00Z
S01349,F0000054,74716518,2025-02-20T11:39:00Z
S01349,F0000055,26798255,2025-02-15T15:31:00Z
S01349,F0000056,118732172,2025-02-06T19:22:00Z
S01349,F0000057,9347159,2025-02-25T08:13:00Z
S01349,F0000058,40197630,2025-02-19T20:15:00Z
S01349,F0000059,48082309,2025-02-22T22:54:00Z
S01349,F0000060,21253257,2025-02-21T17:30:00Z
S01349,F0000061,83086392,2025-02-15T21:35:00Z
S01349,F0000062,17122755,2025-02-18T05:26:00Z
S01349,F0000063,7022850,2025-02-05T16:11:00Z
S01349,F0000064,22416936,2025-02-27T20:36:00Z
S01349,F0000065,5348615,2025-02-13T04:33:00Z
S01349,F0000066,20702269,2025-02-04T22:41:00Z
S01349,F0000067,24615398,2025-02-19T01:05:00Z
S01349,F0000068,61009766,2025-02-01T00:56:00Z
S01349,F0000069,61562956,2025-02-12T16:52:00Z
S01349,F0000070,37340648,2025-02-01T09:02:00Z
S01349,F0000071,19505862,2025-02-04T00:23:00Z
S01349,F0000072,76965800,2025-02-13T19:10:00Z
S01349,F0000073,38201636,2025-02-06T14:06:00Z
S01349,F0000074,66976509,2025-02-12T02:18:00Z
S01349,F0000075,24534212,2025-02-01T08:24:00Z
S01349,F0000076,15819319,2025-02-18T23:01:00Z
