subscription_id,cycle,data_mb_total,voice_min_total
S00139,2025-02,31008.9,3235
S00139,2025-03,2739.2,2175
S00214,2025-02,15365.7,121
S00214,2025-03,1217.2,844
S00516,2025-02,3350.6,331
S00516,2025-03,1633.6,1840
S01928,2025-02,30203.6,2777
S01928,2025-03,23998.2,1240
S01649,2025-02,15293.5,2129
S01649,2025-03,13600.1,824
S00146,2025-02,26683.8,67
S00146,2025-03,5394.3,2579
S01912,2025-02,33212.8,287
S01912,2025-03,26080.1,3092
S00894,2025-02,28753.4,1590
S00894,2025-03,20210.8,1914
S01437,2025-02,7610.6,3302
S01437,2025-03,16324.8,3576
S00545,2025-02,34972.1,3186
S00545,2025-03,13363.9,2970
S01478,2025-02,11049.2,3467
S01478,2025-03,18361.0,1053
S01907,2025-02,8063.2,1621
S01907,2025-03,1238.2,3288
S00976,2025-02,21776.1,1956
S00976,2025-03,12206.9,3878
S01952,2025-02,33549.5,1521
S01952,2025-03,16928.6,3746
S01507,2025-02,25527.2,2381
S01507,2025-03,21801.4,3827
S00195,2025-02,37067.8,3250
S00195,2025-03,17474.7,2154
S01290,2025-02,17362.1,3891
S01290,2025-03,11862.7,2757
S01782,2025-02,20592.1,1994
S01782,2025-03,28738.0,2719
S00767,2025-02,25359.8,2013
S00767,2025-03,3817.4,2390
S01566,2025-02,5653.7,2700
S01566,2025-03,23518.7,3090
S00452,2025-02,19134.8,2016
S00452,2025-03,36156.0,1574
S01394,2025-02,12587.8,2968
S01394,2025-03,15251.2,1823
S00780,2025-02,17385.4,2205
S00780,2025-03,2810.6,1102
S00619,2025-02,16865.2,1938
S00619,2025-03,27355.1,1589
S00374,2025-02,11734.7,2415
S00374,2025-03,1104.8,3623
S00275,2025-02,24738.3,902
S00275,2025-03,20288.9,3331
S01305,2025-02,23930.6,3130
S01305,2025-03,29071.5,3117
S00256,2025-02,2177.8,1958
S00256,2025-03,5587.4,3157
S01293,2025-02,36335.2,3610
S01293,2025-03,580.3,1982
S01814,2025-02,7704.5,2369
S01814,2025-03,1910.3,3733
S01684,2025-02,1005.7,1509
S01684,2025-03,23439.0,690
S00154,2025-02,32549.0,1126
S00154,2025-03,32823.6,3028
S01991,2025-02,38250.1,2986
S01991,2025-03,37991.9,3493
S00298,2025-02,34398.9,1392
S00298,2025-03,20000.1,2605
S01865,2025-02,33925.1,667
S01865,2025-03,37165.7,3429
S01324,2025-02,37482.9,3890
S01324,2025-03,26225.3,2867
S00522,2025-02,22864.4,170
S00522,2025-03,11227.5,1568
S00504,2025-02,24482.5,1676
S00504,2025-03,27628.9,3316
S01350,2025-02,20337.3,2230
S01350,2025-03,23025.6,3883
S00204,2025-02,38291.3,1653
S00204,2025-03,10751.7,274
S00966,2025-02,28131.3,1120
S00966,2025-03,8514.0,2968
S00610,2025-02,4567.5,2882
S00610,2025-03,31208.5,954
S01357,2025-02,31794.5,530
S01357,2025-03,5256.9,717
S01091,2025-02,9196.1,3998
S01091,2025-03,18453.0,1945
S01707,2025-02,30455.9,976
S01707,2025-03,2990.7,283
S00902,2025-02,36963.3,519
S00902,2025-03,8264.9,3911
S01216,2025-02,34837.6,3911
S01216,2025-03,29139.2,773
S00613,2025-02,14489.8,904
S00613,2025-03,39921.3,2739
S01726,2025-02,33402.6,3972
S01726,2025-03,37569.4,2880
S01377,2025-02,21945.9,2480
S01377,2025-03,12752.1,609
S01329,2025-02,33471.5,3913
S01329,2025-03,30745.8,2232
S01795,2025-02,13700.2,1465
S01795,2025-03,2052.8,627
S01913,2025-02,24633.0,3770
S01913,2025-03,6171.4,544
S01367,2025-02,13322.6,2894
S01367,2025-03,29743.9,2847
S00396,2025-02,27995.9,337
S00396,2025-03,15689.9,2867
S01686,2025-02,29501.0,1035
S01686,2025-03,11329.6,2632
S00193,2025-02,4051.5,1111
S00193,2025-03,32341.0,552
S01146,2025-02,25475.1,1615
S01146,2025-03,39145.0,211
S00399,2025-02,25945.0,1434
S00399,2025-03,7605.4,94
S01896,2025-02,25643.3,708
S01896,2025-03,12643.6,1898
S00835,2025-02,23615.6,3103
S00835,2025-03,6954.7,2084
S01221,2025-02,36534.8,2277
S01221,2025-03,7982.4,3296
S01241,2025-02,26375.4,2770
S01241,2025-03,908.9,2241
S01644,2025-02,563.3,2071
S01644,2025-03,39349.3,3011
S00324,2025-02,11537.1,3416
S00324,2025-03,32057.3,1141
