subscription_id	call_id	duration_sec	ts
S01318	V0029585	1012	2025-03-14T21:21:00Z
S01073	V0023840	410	2025-03-17T06:53:00Z
S01576	V0035462	282	2025-03-04T04:32:00Z
S01163	V0025818	314	2025-03-11T03:18:00Z
S00109	V0002515	793	2025-03-28T19:07:00Z
S01814	V0040694	1324	2025-03-11T16:02:00Z
S00678	V0014973	1265	2025-03-26T05:23:00Z
S00897	V0019663	580	2025-03-02T16:07:00Z
S01263	V0028117	818	2025-03-12T07:10:00Z
S01753	V0039311	782	2025-03-22T22:06:00Z
S00316	V0007082	346	2025-03-15T02:36:00Z
S00713	V0015757	953	2025-03-21T18:57:00Z
S00224	V0005021	721	2025-03-10T02:25:00Z
S01691	V0037940	129	2025-03-07T03:22:00Z
S00800	V0017571	1071	2025-03-25T18:49:00Z
S01675	V0037601	1339	2025-03-13T23:51:00Z
S01222	V0027158	1599	2025-03-22T13:53:00Z
S00856	V0018837	828	2025-03-01T12:58:00Z
S01230	Y0006703	480	2025-04-01T18:12:00Z
S00442	V0009820	1019	2025-03-18T15:01:00Z
S00448	V0009952	381	2025-03-11T12:03:00Z
S00828	V0018176	980	2025-03-03T03:02:00Z
S00378	V0008486	1298	2025-03-23T23:09:00Z
S00025	Y0000131	1267	2025-02-21T03:58:00Z
S00482	V0010713	1167	2025-03-23T10:56:00Z
S00240	V0005438	460	2025-03-23T00:20:00Z
S01227	V0027292	1793	2025-03-18T00:47:00Z
S01669	Y0009147	716	2025-04-04T08:13:00Z
S01778	V0039911	1468	2025-03-05T15:13:00Z
S01860	V0041723	191	2025-03-09T21:59:00Z
S00386	V0008678	625	2025-03-19T14:20:00Z
S01430	V0032223	217	2025-03-26T22:43:00Z
S01595	V0035852	1729	2025-03-18T15:50:00Z
S00994	V0021891	252	2025-03-28T05:56:00Z
S01529	V0034431	1316	2025-03-24T22:37:00Z
S01291	V0028851	274	2025-03-11T06:07:00Z
S01916	V0043006	148	2025-03-07T19:28:00Z
S01393	V0031383	601	2025-03-10T20:11:00Z
S00836	V0018373	1419	2025-03-11T08:32:00Z
S01672	V0037523	1389	2025-03-15T11:33:00Z
S00665	Y0003612	1036	2025-02-26T04:31:00Z
S01179	V0026237	335	2025-03-12T03:04:00Z
S01525	V0034334	41	2025-03-09T13:42:00Z
S01343	V0030174	1772	2025-03-05T12:39:00Z
S01770	V0039707	1056	2025-03-11T09:59:00Z
S01993	Y0010866	617	2025-02-23T19:12:00Z
