subscription_id	call_id	duration_sec	ts
S01578	W0000001	920	2025-02-12T21:17:00Z
S01578	W0000002	107	2025-02-22T13:37:00Z
S01578	W0000003	1293	2025-02-25T21:55:00Z
S01578	W0000004	613	2025-02-05T21:46:00Z
S01578	W0000005	1451	2025-02-06T15:23:00Z
S01578	W0000006	74	2025-02-27T14:45:00Z
S01578	W0000007	873	2025-02-28T07:19:00Z
S01578	W0000008	1106	2025-02-16T04:05:00Z
S01578	W0000009	998	2025-02-07T12:21:00Z
S01578	W0000010	465	2025-02-01T01:38:00Z
S01578	W0000011	1790	2025-02-09T17:07:00Z
S01578	W0000012	1457	2025-02-27T16:35:00Z
S01578	W0000013	1533	2025-02-22T14:19:00Z
S01578	W0000014	677	2025-02-24T17:46:00Z
S01578	W0000015	1550	2025-02-14T20:50:00Z
S01578	W0000016	1408	2025-02-11T07:50:00Z
S01578	W0000017	1381	2025-02-05T10:53:00Z
S01764	W0000018	522	2025-02-28T01:24:00Z
S01764	W0000019	1221	2025-02-10T00:57:00Z
S01764	W0000020	353	2025-02-10T16:39:00Z
S01764	W0000021	1746	2025-02-23T20:36:00Z
S01764	W0000022	1405	2025-02-16T10:27:00Z
S00652	W0000023	1748	2025-02-13T19:06:00Z
S00652	W0000024	335	2025-02-05T19:46:00Z
S00652	W0000025	1583	2025-02-08T19:42:00Z
S00652	W0000026	1735	2025-02-17T00:40:00Z
S00652	W0000027	693	2025-02-12T16:08:00Z
S00652	W0000028	1175	2025-02-20T17:23:00Z
S00652	W0000029	982	2025-02-04T23:54:00Z
S00652	W0000030	440	2025-02-03T19:38:00Z
S00652	W0000031	1279	2025-02-25T18:09:00Z
S00652	W0000032	306	2025-02-12T17:07:00Z
S00652	W0000033	601	2025-02-17T01:41:00Z
S00652	W0000034	1675	2025-02-05T02:45:00Z
S00652	W0000035	1263	2025-02-13T10:12:00Z
S00652	W0000036	1430	2025-02-27T11:13:00Z
S00652	W0000037	675	2025-02-25T05:35:00Z
S00652	W0000038	1125	2025-02-17T18:41:00Z
S00652	W0000039	1698	2025-02-24T17:59:00Z
S00652	W0000040	493	2025-02-08T13:22:00Z
S00652	W0000041	261	2025-02-24T20:29:00Z
S00652	W0000042	1092	2025-02-28T11:27:00Z
S00652	W0000043	531	2025-02-13T00:54:00Z
S00881	W0000044	116	2025-02-13T12:16:00Z
S00881	W0000045	454	2025-02-08T02:11:00Z
S00881	W0000046	84	2025-02-04T12:46:00Z
S00881	W0000047	793	2025-02-02T10:45:00Z
S00881	W0000048	1475	2025-02-04T00:52:00Z
S00881	W0000049	278	2025-02-05T11:06:00Z
S00881	W0000050	568	2025-02-24T12:08:00Z
S00881	W0000051	1264	2025-02-23T16:59:00Z
S00881	W0000052	161	2025-02-12T02:46:00Z
S00881	W0000053	1785	2025-02-04T14:55:00Z
S00881	W0000054	1393	2025-02-08T22:37:00Z
S00881	W0000055	1788	2025-02-17T07:20:00Z
S00881	W0000056	1604	2025-02-20T13:48:00Z
S00881	W0000057	722	2025-02-19T00:40:00Z
S00881	W0000058	231	2025-02-02T11:35:00Z
