column,count,mean,std,min,25%,50%,75%,max
V1,119528.0,59764.5,34504.91,1.0,29882.75,59764.5,89646.25,119528.0
V2,119528.0,0.03,0.17,0.0,0.0,0.0,0.0,1.0
V3,119528.0,0.47,0.86,0.0,0.0,0.0,1.0,12.0
V4,85048.0,17.22,5.2,2.0,14.0,17.0,21.0,36.0
V5,85048.0,0.69,1.09,0.0,0.0,0.0,1.0,29.0
V6,85048.0,2325.7,575.61,681.0,1895.0,2320.0,2689.0,7840.0
V7,85048.0,39338.08,11016.62,10000.0,30000.0,39700.0,48000.0,96000.0
V8,85048.0,21.06,5.7,6.0,18.0,24.0,24.0,36.0
V9,85048.0,3512.69,3754.68,1001.0,1368.0,2307.0,3911.0,21106.0
V11,85048.0,0.64,0.97,0.0,0.0,0.0,1.0,6.0
V12,85048.0,11.7,3.98,0.0,9.5,12.6,14.09,20.65
V17,85048.0,37.0,9.89,18.0,29.0,36.0,45.0,67.0
V18,119528.0,3.64,6.99,0.0,1.0,1.0,4.0,555.0
V19,119528.0,2.25,5.39,0.0,1.0,1.0,2.0,523.0
V20,119528.0,0.91,2.48,0.0,0.0,0.0,1.0,54.0
V21,36626.0,274219.21,791624.1,1.0,41907.0,95000.0,300000.0,100000000.0
V22,119528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V23,19281.0,430252.23,822814.28,99.0,44900.0,110000.0,492000.0,20227770.0
V24,19028.0,176649.43,407561.77,1.0,33940.5,88000.0,200004.75,30000000.0
V25,104467.0,41415.21,13044.01,10000.0,31000.0,42250.0,49300.0,700000.0
V26,13431.0,46.98,42.72,4.0,20.0,31.0,52.0,252.0
V27,20433.0,48.21,41.71,4.0,23.0,35.0,55.0,268.0
V28,119528.0,1.08,3.74,0.0,0.0,0.0,0.0,314.0
V29,119528.0,0.82,3.17,0.0,0.0,0.0,0.0,243.0
V30,119528.0,0.34,1.48,0.0,0.0,0.0,0.0,96.0
V32,119528.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0
