column,role
V1,identifier
V2,numeric_feature
V3,numeric_feature
V4,numeric_feature
V5,numeric_feature
V6,numeric_feature
V7,numeric_feature
V8,numeric_feature
V9,numeric_feature
V10,categorical_feature
V11,numeric_feature
V12,numeric_feature
V13,categorical_feature
V14,categorical_feature
V15,categorical_feature
V16,date_redundant
V17,numeric_feature
V18,numeric_feature
V19,numeric_feature
V20,numeric_feature
V21,numeric_feature
V22,numeric_feature
V23,numeric_feature
V24,numeric_feature
V25,numeric_feature
V26,numeric_feature
V27,numeric_feature
V28,numeric_feature
V29,numeric_feature
V30,numeric_feature
V31,categorical_feature
V32,target
