row_id,split
0,train
1,train
2,test
3,train
4,train
5,test
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,test
15,test
16,test
17,train
18,test
19,train
20,test
21,train
22,test
23,train
24,train
25,train
26,test
27,train
28,test
29,test
30,train
31,train
32,train
33,train
34,train
35,train
36,test
37,test
38,train
39,train
40,train
41,train
42,train
43,test
44,train
45,train
46,test
47,train
48,train
49,test
50,train
51,test
52,test
53,train
54,train
55,train
56,test
57,test
58,test
59,test
60,test
61,test
62,train
63,train
64,train
65,test
66,train
67,test
68,train
69,test
70,train
71,train
72,train
73,train
74,train
75,test
76,train
77,test
78,train
79,test
80,train
81,test
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,test
99,test
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,test
117,test
118,train
119,train
120,train
121,train
122,test
123,train
124,train
125,train
126,train
127,train
128,test
129,train
130,test
131,test
132,train
133,train
134,test
135,train
136,train
137,test
138,train
139,train
140,train
141,test
142,train
143,test
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,test
152,train
153,test
154,train
155,train
156,train
157,train
158,test
159,test
160,test
161,train
162,train
163,train
164,test
165,train
166,train
167,test
168,test
169,train
170,train
171,train
172,train
173,test
174,test
175,train
176,train
177,train
178,train
179,test
180,train
181,train
182,train
183,test
184,train
185,train
186,train
187,train
188,test
189,test
190,test
191,train
192,train
193,train
194,test
195,train
196,train
197,test
198,test
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,test
209,train
210,test
211,test
212,test
213,train
214,test
215,train
216,test
217,train
218,train
219,train
220,test
221,train
222,train
223,test
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,test
234,test
235,train
236,train
237,train
238,train
239,train
240,test
241,train
242,train
243,test
244,train
245,train
246,train
247,train
248,train
249,test
250,train
251,test
252,train
253,train
254,train
255,train
256,train
257,train
258,train
259,test
260,test
261,train
262,train
263,train
264,train
265,test
266,train
267,train
268,train
269,train
270,train
271,train
