branch	part	seq	ev_time	value
beta	p0	1	1000	1.0
alpha	p1	2	1137	1.665515005202
alpha	p2	3	1274	2.638643932422
beta	p3	4	1411	3.775857450998
alpha	p0	5	1548	5.03472218796
alpha	p1	6	1685	6.392046088599
beta	p2	7	1822	7.834324099427
alpha	p3	8	1959	9.350845395665
alpha	p0	9	2096	10.933966446681
beta	p1	10	2233	12.577715064371
alpha	p2	11	2370	14.276774836953
alpha	p3	12	2507	16.028165551138
beta	p0	13	2644	17.828033639114
alpha	p1	14	2781	19.67350856851
alpha	p2	15	2918	21.562100853395
beta	p3	16	3055	23.491127462296
alpha	p0	17	3192	25.459655899726
alpha	p1	18	3329	27.465461395065
beta	p2	19	3466	29.506993526067
alpha	p3	20	3603	31.582849782823
alpha	p0	21	3740	33.691254335507
beta	p1	22	3877	35.832040769843
alpha	p2	23	4014	38.00363789333
alpha	p3	24	4151	40.205057949977
beta	p0	25	4288	42.435386746987
alpha	p1	26	4425	44.693275315795
alpha	p2	27	4562	46.978932816691
beta	p3	28	4699	49.291120460508
alpha	p0	29	4836	51.629146269053
alpha	p1	30	4973	53.992360532503
beta	p2	31	5110	56.379651850068
alpha	p3	32	5247	58.791443661954
