branch	part	seq	ev_time	value
gamma	q0	1	2000	2.5
delta	q1	2	2211	2.91901
gamma	q2	3	2422	3.33802
delta	q0	4	2633	3.75703
gamma	q1	5	2844	4.17604
delta	q2	6	3055	4.59505
gamma	q0	7	3266	5.01406
delta	q1	8	3477	5.433
gamma	q2	9	3688	5.85201
delta	q0	10	3899	6.27102
gamma	q1	11	4110	6.69003
delta	q2	12	4321	7.10904
gamma	q0	13	4532	7.52805
delta	q1	14	4743	7.94706
gamma	q2	15	4954	8.366
delta	q0	16	5165	8.78501
gamma	q1	17	5376	9.20402
delta	q2	18	5587	9.62303
gamma	q0	19	5798	10.04204
delta	q1	20	6009	10.46105
gamma	q2	21	6220	10.88006
delta	q0	22	6431	11.299
gamma	q1	23	6642	11.71801
delta	q2	24	6853	12.13702
gamma	q0	25	7064	12.55603
delta	q1	26	7275	12.97504
gamma	q2	27	7486	13.39405
delta	q0	28	7697	13.81306
gamma	q1	29	2500	17.333333333333
delta	q2	30	2500	8.666666666667
gamma	q0	31	2500	3.141592653589
